filename	photo	page_url	image_url_full	image_url_partial	page_title	iteration	language	labels	scrape_date	correction
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.com/photos/mao-tse-tung	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	6,636 <b>Mao Tse Tung</b> Photos and Premium High Res Pictures	1	en=0.9892171273710556	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.co.uk/photos/mao-tse-tung	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	6,596 <b>Mao Tse Tung</b> Photos and Premium High Res Pictures	1	en=0.9892171273710556	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://speakola.com/political/mao-zedong-proclamation-of-peoples-republic-of-china-1949	na	http://static1.squarespace.com/static/5507919de4b01b71a2856965/5514b6b5e4b017e0132fb954/5955db82ebbd1a5a508a3a7b/1498799653084/Mao+Proclamation.jpg?format=1500w	<b>Mao Zedong</b>: - &#39;The Chinese people have stood up&#39;, Proclamation of ...	1	en=0.9999999998919693	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	http://www.gettyimages.com/photos/chairman-mao-zedong?page=4	na	https://media.gettyimages.com/photos/mao-zedong-leader-of-chinese-communist-party-on-tien-an-men-square-picture-id89858827?s=612x612	Chairman <b>Mao Zedong</b> Stock Pictures, Royalty-free Photos ...	1	pt=0.735218802403298	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.rferl.org/a/Daughter_Of_Mao_Aide_Recalls_Early_Days_Of_Peoples_Republic/1841087.html	https://gdb.rferl.org/688FFE89-064D-4C38-B21A-6CDD4E2C767C_w1200_r1.jpg||https://gdb.rferl.org/688FFE89-064D-4C38-B21A-6CDD4E2C767C_w1080_h608.jpg||https://gdb.rferl.org/688FFE89-064D-4C38-B21A-6CDD4E2C767C_w1080_h608_s.jpg||https://gdb.rferl.org/688FFE89-064D-4C38-B21A-6CDD4E2C767C_w408_r1_s.jpg	na	Daughter Of <b>Mao</b> Aide Recalls Early Days Of People&#39;s Republic	1	en=0.9860497442323346	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.com/photos/mao	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	24,832 <b>Mao</b> Photos and Premium High Res Pictures - Getty Images	1	en=0.9999853585993709	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.scmp.com/magazines/post-magazine/article/2012136/why-hong-kong-has-mao-thanks-id-cards	na	https://cdn1.i-scmp.com/sites/default/files/styles/1200x800/public/images/methode/2016/09/01/65000c28-6b59-11e6-87bc-57ed402b26b2_236x.jpg?itok=qQIhDF3c||http://www.scmp.com/sites/default/files/styles/236w/public/images/methode/2016/09/01/65000c28-6b59-11e6-87bc-57ed402b26b2_236x.jpg?itok=ZvLIjnx3||https://cdn1.i-scmp.com/sites/default/files/styles/1920x1080/public/images/methode/2016/09/01/65000c28-6b59-11e6-87bc-57ed402b26b2_236x.jpg?itok=4Z-OmCvA||https://cdn1.i-scmp.com/sites/default/files/styles/768x768/public/images/methode/2016/09/01/65000c28-6b59-11e6-87bc-57ed402b26b2_236x.jpg?itok=3N1hvg3i	Why Hong Kong has <b>Mao</b> to thank for ID cards | South China ...	1	en=0.9999999999814004	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.pinterest.ch/pin/465770786444652467/	na	https://i.pinimg.com/474x/44/cb/9e/44cb9e3415a80cee32a4354cf02748d6--mao-zedong-times-for-kids.jpg	1 octobre 1949 : <b>Mao Zedong</b> proclame la République Populaire de ...	1	fr=0.9999999998831879	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.fi/photos/mao-zedong	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	8,138 <b>Mao Zedong</b> Photos and Premium High Res Pictures	1	en=0.9994613366369332	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.com.au/photos/mao	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	<b>Mao</b> Stock Pictures, Royalty-free Photos &amp; Images - Getty Images	1	en=0.767561317975625	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.dk/photos/mao-tse-tung	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	<b>Mao Tse Tung</b> Stock Pictures, Royalty-free Photos &amp; Images - Getty ...	1	en=0.5372954859453273	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.fi/photos/mao-tse-tung	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	<b>Mao Tse Tung</b> Stock Pictures, Royalty-free Photos &amp; Images	1	pt=0.6457831350483871	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.ie/photos/mao-tse-tung?page=3	na	https://media.gettyimages.com/photos/mao-zedong-leader-of-chinese-communist-party-on-tien-an-men-square-picture-id89858827?s=612x612	6,598 <b>Mao Tse Tung</b> Photos and Premium High Res Pictures	1	en=0.9892171273710556	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.com.au/photos/mao-zedong-square	na	https://media.gettyimages.com/photos/mao-zedong-leader-of-chinese-communist-party-on-tien-an-men-square-picture-id89858827?s=612x612	<b>Mao Zedong</b> Square Stock Pictures, Royalty-free Photos &amp; Images ...	1	en=0.41252796290798915	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.slideserve.com/malachi/mao-zedong	na	https://image.slideserve.com/1458511/slide6-l.jpg	PPT - <b>Mao Zedong</b> PowerPoint Presentation, free download - ID ...	1	en=0.6340929368575807	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.com/detail/news-photo/mao-zedong-chinese-communist-revolutionary-proclaiming-the-news-photo/566465161	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161	<b>Mao Zedong</b> , Chinese Communist revolutionary proclaiming the ...	1	en=0.9999999977082492	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.pinterest.com/kiattechaputpon/chinese-culture-revolution-art/	na	https://i.pinimg.com/474x/44/cb/9e/44cb9e3415a80cee32a4354cf02748d6.jpg	272 Best Chinese Culture Revolution Art images | Revolution art ...	1	nl=0.569247167729131	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.theguardian.com/world/gallery/2019/may/29/chinas-modern-history-in-pictures	na	https://i.guim.co.uk/img/media/93fc93d66fa3e29e44d09342a4434aec855deabe/0_0_2088_3003/master/2088.jpg?width=700&quality=85&auto=format&fit=max&s=bca828223fab1fa92830c1d718ada968||https://i.guim.co.uk/img/media/93fc93d66fa3e29e44d09342a4434aec855deabe/0_0_2088_3003/master/2088.jpg?width=300&quality=85&auto=format&fit=max&s=73370bb7bc3a695b496d44f96db6b9f3	China&#39;s modern history – in pictures | World news | The Guardian	1	en=0.9999994990013562	mao zedong	2020-06-24 13:07:33	True
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.co.nz/photos/republic-of-china-mao-tse-tung	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id1139711409?s=612x612	Republic Of China <b>Mao Tse Tung</b> Stock Pictures, Royalty-free ...	1	en=0.9142054329672387	mao zedong	2020-06-24 13:07:33	na
D:/react-data/iconic\Mao\Mao_1\9_20200624-1107.json	Mao	https://www.gettyimages.no/photos/mao	na	https://media.gettyimages.com/photos/mao-zedong-chinese-communist-revolutionary-proclaiming-the-founding-picture-id566465161?s=612x612	19,861 <b>Mao</b> Photos and Premium High Res Pictures - Getty Images	1	en=0.9999853585993709	mao zedong	2020-06-24 13:07:33	na
