x,y,n
61.0,259.0,197
70.0,249.0,119
101.0,252.0,459
120.0,267.0,703
137.0,413.0,125
146.0,180.0,767
152.0,212.0,91
158.0,379.0,25
158.0,522.0,312
159.0,430.0,524
166.0,199.0,65
173.0,480.0,568
181.0,471.0,105
187.0,481.0,71
197.0,158.0,438
201.0,447.0,115
205.0,99.0,604
214.0,149.0,67
215.0,116.0,65
217.0,601.0,468
231.0,475.0,636
238.0,543.0,396
244.0,558.0,359
248.0,155.0,708
249.0,469.0,75
250.0,513.0,168
251.0,519.0,423
255.0,33.0,452
256.0,270.0,1112
265.0,83.0,647
278.0,462.0,680
278.0,486.0,125
279.0,22.0,792
281.0,502.0,586
282.0,527.0,94
290.0,480.0,329
291.0,418.0,580
301.0,484.0,123
304.0,151.0,338
306.0,389.0,215
313.0,127.0,729
313.0,431.0,643
315.0,399.0,79
316.0,398.0,107
316.0,566.0,124
317.0,168.0,165
326.0,372.0,379
332.0,169.0,337
333.0,403.0,656
341.0,46.0,539
341.0,64.0,51
362.0,364.0,105
365.0,237.0,63
370.0,72.0,582
372.0,27.0,456
374.0,190.0,138
380.0,250.0,121
380.0,324.0,626
390.0,266.0,70
397.0,256.0,63
404.0,309.0,405
407.0,47.0,434
416.0,286.0,94
422.0,301.0,220
427.0,583.0,131
