x,y,n
12.0,70.0,58
20.0,50.0,99
21.0,260.0,256
24.0,108.0,61
28.0,276.0,296
30.0,61.0,150
44.0,262.0,121
44.0,294.0,171
68.0,27.0,156
72.0,219.0,202
73.0,48.0,175
76.0,295.0,108
84.0,30.0,396
85.0,49.0,122
87.0,61.0,217
95.0,202.0,161
96.0,76.0,111
101.0,214.0,215
101.0,235.0,149
115.0,51.0,176
116.0,64.0,312
122.0,40.0,212
125.0,211.0,241
126.0,299.0,413
131.0,52.0,234
133.0,348.0,331
135.0,68.0,168
137.0,335.0,586
140.0,357.0,437
141.0,130.0,498
150.0,315.0,438
151.0,348.0,791
152.0,14.0,54
152.0,329.0,574
155.0,42.0,332
155.0,47.0,55
159.0,338.0,625
165.0,342.0,655
169.0,347.0,416
170.0,69.0,300
173.0,11.0,71
174.0,44.0,217
175.0,133.0,176
175.0,243.0,346
175.0,324.0,598
176.0,226.0,212
179.0,293.0,235
181.0,232.0,144
181.0,345.0,584
184.0,205.0,610
185.0,205.0,360
191.0,166.0,114
195.0,70.0,115
199.0,347.0,227
200.0,335.0,502
202.0,218.0,304
204.0,132.0,84
205.0,313.0,551
209.0,289.0,305
215.0,339.0,463
217.0,269.0,219
219.0,84.0,136
225.0,242.0,233
228.0,179.0,135
229.0,343.0,426
231.0,68.0,281
232.0,320.0,429
233.0,210.0,304
237.0,97.0,141
238.0,19.0,76
244.0,201.0,415
254.0,345.0,1090
263.0,22.0,91
265.0,74.0,205
267.0,189.0,229
268.0,327.0,465
269.0,59.0,133
273.0,359.0,336
281.0,60.0,248
293.0,192.0,284
300.0,95.0,116
301.0,59.0,240
302.0,77.0,263
311.0,330.0,494
315.0,196.0,120
323.0,59.0,254
323.0,69.0,237
332.0,181.0,561
335.0,194.0,104
336.0,243.0,341
342.0,98.0,292
347.0,86.0,195
351.0,158.0,429
351.0,306.0,178
353.0,218.0,313
358.0,121.0,367
358.0,132.0,296
359.0,32.0,270
366.0,195.0,437
368.0,99.0,329
370.0,79.0,354
373.0,175.0,435
375.0,67.0,258
379.0,104.0,418
380.0,42.0,309
384.0,71.0,239
384.0,312.0,363
386.0,92.0,410
387.0,369.0,142
389.0,61.0,121
392.0,343.0,415
396.0,53.0,258
401.0,363.0,250
404.0,64.0,238
406.0,159.0,201
408.0,234.0,323
408.0,336.0,344
409.0,189.0,397
412.0,80.0,414
414.0,278.0,274
420.0,316.0,508
423.0,336.0,756
425.0,41.0,227
427.0,87.0,243
435.0,90.0,357
435.0,121.0,230
438.0,200.0,413
439.0,337.0,319
440.0,79.0,350
441.0,180.0,284
442.0,100.0,365
442.0,257.0,442
442.0,359.0,367
444.0,188.0,394
446.0,165.0,232
448.0,54.0,244
449.0,42.0,248
450.0,380.0,222
456.0,92.0,456
459.0,345.0,328
460.0,345.0,317
467.0,150.0,165
470.0,44.0,197
471.0,331.0,186
