x,y,n
10.0,201.0,414
13.0,149.0,513
20.0,168.0,492
26.0,111.0,428
26.0,139.0,375
27.0,128.0,520
31.0,98.0,978
44.0,143.0,325
46.0,31.0,424
48.0,17.0,251
57.0,181.0,903
58.0,19.0,294
85.0,357.0,525
86.0,54.0,358
90.0,398.0,406
93.0,212.0,434
97.0,181.0,182
99.0,103.0,69
99.0,150.0,630
100.0,108.0,339
104.0,406.0,820
106.0,190.0,479
110.0,94.0,474
110.0,249.0,714
111.0,276.0,454
113.0,416.0,591
115.0,195.0,983
116.0,401.0,475
117.0,231.0,708
121.0,53.0,529
122.0,27.0,314
122.0,83.0,712
122.0,328.0,513
123.0,409.0,495
124.0,186.0,565
124.0,188.0,1091
125.0,262.0,642
125.0,311.0,355
126.0,291.0,1249
128.0,139.0,432
128.0,164.0,1105
128.0,248.0,499
129.0,73.0,419
131.0,322.0,638
132.0,322.0,637
133.0,402.0,507
135.0,153.0,402
136.0,52.0,995
136.0,64.0,644
137.0,14.0,819
137.0,161.0,56
138.0,40.0,705
138.0,77.0,456
138.0,230.0,557
138.0,300.0,685
138.0,387.0,459
139.0,119.0,538
141.0,181.0,684
142.0,106.0,496
142.0,411.0,232
144.0,151.0,328
146.0,123.0,77
147.0,75.0,585
148.0,101.0,236
148.0,242.0,1454
149.0,159.0,223
149.0,358.0,567
152.0,141.0,1077
152.0,387.0,745
153.0,28.0,241
153.0,57.0,466
153.0,166.0,541
154.0,86.0,554
156.0,122.0,560
162.0,134.0,496
162.0,251.0,662
165.0,353.0,762
166.0,401.0,196
170.0,132.0,308
171.0,267.0,106
172.0,394.0,330
174.0,158.0,431
174.0,198.0,984
176.0,237.0,941
176.0,322.0,571
177.0,166.0,23
177.0,348.0,561
177.0,368.0,293
178.0,262.0,572
179.0,207.0,504
180.0,402.0,486
181.0,134.0,604
181.0,137.0,1011
182.0,156.0,986
185.0,209.0,591
186.0,321.0,166
187.0,173.0,430
187.0,251.0,600
187.0,320.0,182
188.0,148.0,148
189.0,281.0,616
193.0,337.0,736
195.0,224.0,613
197.0,180.0,639
199.0,392.0,309
201.0,160.0,669
212.0,255.0,667
214.0,312.0,546
215.0,169.0,665
216.0,246.0,862
221.0,365.0,585
222.0,89.0,803
222.0,393.0,466
225.0,271.0,782
226.0,240.0,272
229.0,212.0,734
234.0,228.0,73
234.0,377.0,900
236.0,219.0,607
237.0,296.0,656
240.0,188.0,115
241.0,244.0,668
242.0,271.0,421
246.0,365.0,492
247.0,262.0,214
250.0,391.0,511
251.0,159.0,739
253.0,291.0,576
257.0,170.0,491
263.0,182.0,105
264.0,176.0,37
267.0,229.0,1409
267.0,377.0,255
272.0,333.0,496
278.0,132.0,609
278.0,163.0,1275
278.0,192.0,632
279.0,409.0,438
280.0,396.0,796
282.0,16.0,365
282.0,210.0,482
284.0,41.0,481
286.0,65.0,615
288.0,94.0,678
288.0,180.0,611
293.0,80.0,578
293.0,223.0,135
295.0,69.0,21
297.0,250.0,628
298.0,44.0,923
298.0,51.0,600
299.0,159.0,578
299.0,209.0,631
299.0,316.0,706
300.0,352.0,1219
301.0,109.0,685
302.0,265.0,702
302.0,269.0,763
303.0,159.0,595
303.0,303.0,577
304.0,128.0,1403
304.0,257.0,195
305.0,75.0,52
305.0,281.0,558
305.0,341.0,605
306.0,250.0,33
306.0,263.0,146
308.0,56.0,492
308.0,81.0,618
309.0,219.0,224
309.0,294.0,708
309.0,328.0,28
310.0,16.0,412
311.0,268.0,120
312.0,40.0,428
312.0,185.0,66
312.0,237.0,755
312.0,258.0,435
312.0,329.0,536
313.0,65.0,643
313.0,208.0,389
313.0,277.0,1075
313.0,327.0,498
315.0,95.0,523
317.0,151.0,666
317.0,252.0,536
318.0,108.0,149
318.0,271.0,448
318.0,297.0,41
320.0,286.0,665
322.0,303.0,508
322.0,335.0,374
322.0,388.0,73
324.0,166.0,603
324.0,343.0,582
326.0,107.0,650
327.0,315.0,692
328.0,93.0,781
329.0,174.0,22
330.0,352.0,883
338.0,71.0,299
339.0,120.0,708
340.0,228.0,447
344.0,399.0,382
346.0,216.0,1010
348.0,281.0,693
350.0,90.0,369
351.0,375.0,325
359.0,372.0,412
372.0,428.0,248
380.0,386.0,436
381.0,418.0,259
390.0,409.0,382
391.0,423.0,269
393.0,312.0,833
395.0,380.0,468
404.0,424.0,304
412.0,337.0,299
425.0,41.0,415
426.0,25.0,415
426.0,384.0,505
427.0,403.0,343
428.0,58.0,496
429.0,315.0,460
433.0,46.0,405
433.0,102.0,550
435.0,396.0,436
436.0,127.0,534
437.0,37.0,472
437.0,90.0,27
438.0,170.0,607
438.0,357.0,66
439.0,50.0,504
440.0,48.0,226
440.0,389.0,712
441.0,65.0,572
441.0,77.0,192
442.0,105.0,414
443.0,89.0,599
443.0,155.0,510
446.0,115.0,683
446.0,185.0,96
447.0,49.0,399
447.0,85.0,90
447.0,136.0,518
447.0,192.0,748
448.0,94.0,53
449.0,212.0,459
450.0,168.0,713
450.0,271.0,602
450.0,290.0,613
453.0,60.0,380
453.0,394.0,380
454.0,147.0,533
454.0,231.0,576
455.0,200.0,582
456.0,103.0,512
