x,y,n
8.0,190.0,9
9.0,130.0,13
9.0,233.0,31
12.0,181.0,24
13.0,270.0,21
14.0,117.0,43
14.0,165.0,16
19.0,214.0,131
19.0,230.0,191
19.0,305.0,29
20.0,200.0,43
20.0,283.0,36
22.0,170.0,82
22.0,263.0,84
25.0,117.0,153
26.0,187.0,63
26.0,328.0,71
30.0,227.0,165
32.0,164.0,53
32.0,263.0,393
35.0,292.0,103
38.0,147.0,38
38.0,207.0,119
38.0,321.0,159
39.0,222.0,16
40.0,171.0,148
41.0,243.0,160
45.0,129.0,69
45.0,217.0,252
48.0,240.0,40
49.0,256.0,422
50.0,151.0,35
50.0,163.0,66
50.0,285.0,237
51.0,197.0,22
52.0,324.0,66
57.0,143.0,195
57.0,205.0,12
59.0,96.0,12
59.0,172.0,69
60.0,217.0,6
60.0,240.0,18
62.0,154.0,58
63.0,191.0,14
66.0,140.0,41
66.0,329.0,10
68.0,217.0,16
69.0,164.0,202
69.0,245.0,56
75.0,146.0,16
78.0,278.0,22
79.0,162.0,19
79.0,170.0,131
80.0,247.0,8
84.0,119.0,53
86.0,139.0,65
86.0,303.0,7
86.0,330.0,11
88.0,163.0,78
90.0,250.0,8
92.0,107.0,55
92.0,274.0,50
99.0,118.0,18
102.0,132.0,103
103.0,192.0,5
103.0,204.0,6
103.0,296.0,18
104.0,271.0,25
108.0,165.0,6
112.0,307.0,40
113.0,238.0,6
114.0,193.0,60
115.0,150.0,44
117.0,266.0,70
117.0,326.0,6
118.0,298.0,163
119.0,158.0,10
122.0,290.0,73
123.0,118.0,35
123.0,243.0,12
125.0,193.0,30
125.0,292.0,47
126.0,276.0,53
127.0,106.0,35
128.0,164.0,9
131.0,126.0,33
133.0,298.0,23
136.0,200.0,8
136.0,269.0,28
138.0,72.0,25
140.0,141.0,170
141.0,150.0,29
142.0,312.0,129
143.0,114.0,24
145.0,102.0,73
147.0,161.0,70
149.0,131.0,154
149.0,302.0,130
150.0,91.0,32
152.0,215.0,9
152.0,288.0,53
154.0,101.0,100
155.0,60.0,6
158.0,119.0,149
158.0,308.0,25
161.0,135.0,155
161.0,248.0,43
163.0,106.0,72
163.0,315.0,10
167.0,93.0,44
170.0,152.0,404
170.0,164.0,201
170.0,226.0,13
172.0,138.0,174
173.0,119.0,41
176.0,215.0,24
176.0,323.0,17
177.0,252.0,7
180.0,107.0,62
180.0,132.0,93
180.0,185.0,48
181.0,206.0,14
185.0,218.0,6
188.0,166.0,443
191.0,153.0,229
193.0,278.0,11
193.0,303.0,158
195.0,90.0,9
197.0,139.0,91
199.0,177.0,216
201.0,124.0,13
202.0,167.0,263
209.0,96.0,16
210.0,142.0,27
210.0,162.0,322
212.0,67.0,18
214.0,307.0,185
215.0,135.0,26
218.0,289.0,203
223.0,139.0,25
225.0,264.0,159
226.0,237.0,30
226.0,280.0,235
227.0,166.0,160
227.0,222.0,9
228.0,120.0,332
228.0,291.0,51
229.0,129.0,60
229.0,248.0,7
232.0,209.0,57
233.0,132.0,30
236.0,269.0,352
239.0,122.0,56
241.0,196.0,107
243.0,257.0,29
248.0,278.0,84
250.0,138.0,33
256.0,80.0,9
256.0,288.0,6
257.0,196.0,47
257.0,266.0,41
258.0,176.0,135
259.0,242.0,13
274.0,265.0,29
275.0,211.0,41
275.0,258.0,58
278.0,225.0,127
289.0,227.0,260
293.0,277.0,61
293.0,296.0,96
304.0,241.0,252
304.0,264.0,43
307.0,301.0,86
308.0,174.0,48
308.0,207.0,188
308.0,223.0,475
314.0,253.0,334
315.0,160.0,60
317.0,233.0,276
318.0,202.0,603
319.0,290.0,68
320.0,169.0,34
322.0,307.0,33
327.0,242.0,467
328.0,219.0,403
332.0,332.0,6
339.0,263.0,55
350.0,238.0,387
350.0,286.0,168
350.0,327.0,7
351.0,277.0,309
351.0,327.0,10
352.0,303.0,107
354.0,294.0,27
356.0,259.0,6
357.0,270.0,352
357.0,317.0,169
360.0,146.0,28
360.0,219.0,616
361.0,303.0,330
361.0,332.0,19
363.0,250.0,172
365.0,189.0,736
368.0,165.0,202
369.0,320.0,62
372.0,212.0,318
373.0,143.0,58
373.0,230.0,131
374.0,272.0,160
377.0,83.0,299
383.0,248.0,327
383.0,314.0,21
386.0,170.0,266
387.0,123.0,170
387.0,323.0,8
388.0,70.0,261
388.0,232.0,42
389.0,257.0,370
392.0,309.0,140
393.0,129.0,406
395.0,245.0,463
398.0,182.0,120
400.0,273.0,230
400.0,303.0,105
403.0,66.0,77
406.0,243.0,118
407.0,54.0,3
407.0,57.0,12
408.0,321.0,56
411.0,70.0,130
411.0,329.0,23
412.0,105.0,701
413.0,262.0,62
414.0,63.0,190
414.0,184.0,88
418.0,75.0,457
422.0,95.0,318
422.0,316.0,14
424.0,262.0,16
427.0,245.0,81
427.0,254.0,195
428.0,189.0,214
429.0,68.0,293
431.0,157.0,12
432.0,82.0,144
432.0,200.0,70
432.0,319.0,30
433.0,89.0,28
433.0,285.0,19
435.0,212.0,47
435.0,257.0,54
436.0,265.0,278
436.0,289.0,129
437.0,180.0,29
437.0,304.0,26
441.0,219.0,25
442.0,64.0,226
443.0,138.0,8
444.0,155.0,12
444.0,193.0,118
445.0,309.0,57
448.0,217.0,4
450.0,260.0,53
451.0,145.0,19
451.0,330.0,20
452.0,178.0,12
453.0,181.0,11
454.0,232.0,6
455.0,72.0,138
456.0,83.0,3
456.0,280.0,98
457.0,224.0,6
458.0,127.0,28
459.0,150.0,26
459.0,194.0,63
459.0,215.0,90
459.0,268.0,162
463.0,99.0,29
463.0,177.0,5
464.0,289.0,46
465.0,40.0,24
465.0,185.0,26
466.0,165.0,133
467.0,121.0,29
468.0,114.0,30
469.0,329.0,2
470.0,82.0,41
470.0,299.0,10
471.0,156.0,27
473.0,175.0,11
477.0,95.0,23
477.0,111.0,41
477.0,144.0,23
479.0,135.0,54
480.0,309.0,14
482.0,103.0,14
482.0,161.0,16
483.0,152.0,12
485.0,85.0,14
487.0,297.0,25
488.0,316.0,4
