x,y,n
13.0,287.0,50
15.0,81.0,474
16.0,271.0,365
29.0,141.0,50
30.0,259.0,146
31.0,319.0,499
32.0,244.0,309
34.0,124.0,458
43.0,244.0,479
44.0,268.0,62
44.0,347.0,176
44.0,370.0,72
45.0,333.0,53
46.0,230.0,567
48.0,42.0,92
48.0,85.0,697
48.0,225.0,271
49.0,137.0,448
49.0,190.0,380
51.0,254.0,180
54.0,334.0,422
56.0,317.0,519
62.0,355.0,634
67.0,232.0,137
70.0,74.0,362
73.0,267.0,59
75.0,94.0,381
77.0,328.0,324
79.0,166.0,457
81.0,376.0,356
85.0,305.0,32
85.0,393.0,301
87.0,71.0,528
87.0,328.0,564
88.0,215.0,445
88.0,256.0,157
92.0,330.0,363
93.0,104.0,819
94.0,386.0,114
97.0,238.0,449
100.0,349.0,162
108.0,84.0,779
109.0,362.0,346
110.0,110.0,541
110.0,321.0,267
116.0,216.0,498
117.0,306.0,885
117.0,393.0,257
121.0,239.0,602
130.0,393.0,37
132.0,114.0,171
132.0,186.0,483
133.0,263.0,50
134.0,91.0,514
136.0,244.0,74
138.0,381.0,148
143.0,56.0,339
150.0,115.0,524
150.0,310.0,696
155.0,360.0,111
157.0,378.0,246
158.0,322.0,339
160.0,240.0,788
167.0,329.0,51
168.0,100.0,665
170.0,395.0,178
173.0,297.0,696
174.0,215.0,468
174.0,360.0,191
180.0,311.0,444
181.0,366.0,290
185.0,105.0,691
189.0,244.0,972
190.0,119.0,1059
194.0,352.0,286
197.0,128.0,172
198.0,368.0,266
199.0,380.0,111
201.0,80.0,284
203.0,228.0,293
203.0,363.0,140
204.0,112.0,554
204.0,364.0,108
205.0,68.0,96
208.0,300.0,217
211.0,351.0,365
212.0,224.0,125
212.0,257.0,254
215.0,130.0,111
215.0,203.0,167
216.0,104.0,289
220.0,281.0,334
221.0,329.0,32
226.0,239.0,942
229.0,126.0,282
230.0,307.0,375
238.0,290.0,105
239.0,70.0,909
240.0,337.0,88
243.0,11.0,29
244.0,96.0,717
244.0,321.0,521
249.0,232.0,536
249.0,297.0,103
251.0,143.0,412
254.0,218.0,734
255.0,344.0,51
259.0,312.0,264
261.0,311.0,365
263.0,183.0,669
263.0,206.0,107
263.0,232.0,761
264.0,10.0,39
264.0,79.0,928
265.0,279.0,104
271.0,32.0,189
281.0,205.0,156
291.0,247.0,292
292.0,226.0,1090
301.0,190.0,757
304.0,58.0,197
313.0,211.0,486
314.0,248.0,430
340.0,54.0,330
368.0,245.0,596
384.0,396.0,295
389.0,136.0,491
393.0,284.0,672
396.0,148.0,262
397.0,202.0,682
399.0,172.0,48
409.0,243.0,483
413.0,186.0,293
414.0,374.0,321
416.0,284.0,458
417.0,116.0,230
417.0,326.0,490
421.0,89.0,447
425.0,104.0,708
426.0,170.0,194
429.0,311.0,658
429.0,339.0,541
435.0,393.0,132
438.0,188.0,237
442.0,282.0,697
444.0,96.0,199
446.0,207.0,558
446.0,392.0,41
447.0,125.0,576
448.0,371.0,170
456.0,382.0,22
468.0,27.0,40
468.0,76.0,231
471.0,174.0,361
483.0,168.0,140
487.0,33.0,28
491.0,394.0,32
