x,y,n
6.0,562.0,12
8.0,552.0,10
9.0,571.0,13
15.0,481.0,10
23.0,573.0,34
26.0,511.0,37
38.0,476.0,64
44.0,220.0,37
47.0,464.0,47
54.0,225.0,125
56.0,235.0,74
57.0,285.0,204
58.0,338.0,107
58.0,389.0,75
58.0,514.0,30
59.0,528.0,16
61.0,375.0,61
64.0,305.0,267
65.0,246.0,52
67.0,214.0,91
69.0,355.0,213
69.0,372.0,98
70.0,324.0,222
71.0,225.0,75
71.0,236.0,41
74.0,260.0,43
74.0,480.0,80
75.0,248.0,76
75.0,389.0,145
76.0,552.0,33
81.0,239.0,49
83.0,405.0,107
84.0,231.0,68
84.0,564.0,19
85.0,288.0,34
85.0,512.0,125
86.0,341.0,813
89.0,379.0,323
92.0,416.0,68
92.0,549.0,18
95.0,178.0,706
97.0,354.0,119
98.0,415.0,34
99.0,327.0,66
104.0,404.0,52
108.0,259.0,354
109.0,546.0,90
110.0,112.0,160
110.0,431.0,311
115.0,456.0,102
123.0,75.0,193
123.0,409.0,28
124.0,421.0,96
132.0,523.0,112
135.0,577.0,19
139.0,448.0,51
141.0,563.0,51
149.0,43.0,186
161.0,205.0,335
164.0,333.0,66
167.0,322.0,59
168.0,361.0,183
175.0,184.0,257
176.0,593.0,26
177.0,380.0,75
178.0,504.0,65
179.0,84.0,212
179.0,212.0,294
179.0,229.0,31
182.0,195.0,181
183.0,485.0,54
187.0,373.0,143
191.0,416.0,97
193.0,214.0,194
193.0,269.0,436
195.0,148.0,355
195.0,476.0,113
197.0,428.0,108
198.0,553.0,49
199.0,340.0,206
202.0,203.0,68
204.0,399.0,214
207.0,491.0,20
209.0,324.0,371
213.0,324.0,51
213.0,483.0,50
214.0,340.0,287
217.0,211.0,184
218.0,293.0,53
220.0,314.0,43
222.0,193.0,836
222.0,465.0,49
223.0,587.0,37
225.0,328.0,155
226.0,478.0,276
231.0,278.0,30
231.0,316.0,154
234.0,515.0,123
235.0,65.0,160
236.0,210.0,53
239.0,233.0,356
239.0,268.0,191
241.0,298.0,229
243.0,467.0,97
244.0,80.0,122
246.0,67.0,169
247.0,280.0,100
248.0,56.0,127
249.0,542.0,60
255.0,61.0,140
256.0,247.0,243
256.0,487.0,49
257.0,68.0,59
258.0,273.0,102
258.0,303.0,326
260.0,491.0,248
261.0,322.0,103
261.0,478.0,123
268.0,336.0,458
274.0,284.0,26
276.0,223.0,415
278.0,300.0,230
280.0,272.0,323
281.0,259.0,102
282.0,479.0,86
282.0,490.0,39
285.0,251.0,54
289.0,317.0,389
289.0,599.0,28
294.0,293.0,91
295.0,194.0,494
298.0,479.0,91
298.0,512.0,130
298.0,559.0,39
301.0,582.0,43
304.0,45.0,57
304.0,338.0,193
305.0,611.0,59
306.0,528.0,149
307.0,554.0,19
310.0,290.0,267
311.0,487.0,25
311.0,581.0,28
313.0,546.0,125
314.0,474.0,34
318.0,593.0,44
320.0,624.0,73
321.0,257.0,514
326.0,214.0,240
328.0,312.0,78
331.0,436.0,30
332.0,234.0,30
334.0,291.0,140
336.0,194.0,151
336.0,431.0,72
338.0,182.0,36
359.0,244.0,425
369.0,509.0,56
371.0,193.0,86
373.0,478.0,162
376.0,289.0,86
377.0,369.0,109
383.0,191.0,42
392.0,211.0,68
394.0,507.0,45
396.0,433.0,57
397.0,540.0,28
400.0,496.0,71
404.0,417.0,77
404.0,437.0,134
404.0,506.0,21
406.0,238.0,35
411.0,420.0,44
412.0,295.0,55
412.0,532.0,85
414.0,263.0,66
416.0,463.0,308
418.0,518.0,52
427.0,430.0,111
432.0,535.0,26
433.0,410.0,292
434.0,144.0,79
434.0,435.0,43
434.0,565.0,17
437.0,518.0,20
440.0,114.0,175
441.0,243.0,57
442.0,537.0,35
443.0,554.0,32
445.0,380.0,86
446.0,231.0,78
449.0,336.0,170
449.0,398.0,112
452.0,534.0,54
453.0,518.0,45
454.0,220.0,85
454.0,229.0,41
454.0,241.0,51
454.0,419.0,104
456.0,419.0,134
461.0,157.0,157
464.0,564.0,44
466.0,268.0,119
469.0,549.0,20
470.0,575.0,27
473.0,249.0,39
476.0,278.0,34
476.0,565.0,28
477.0,285.0,34
480.0,590.0,45
484.0,606.0,53
486.0,555.0,16
