x,y,n
9.0,75.0,59
20.0,19.0,70
29.0,64.0,296
35.0,177.0,228
37.0,77.0,386
38.0,93.0,146
41.0,62.0,222
48.0,145.0,193
53.0,71.0,356
59.0,34.0,57
62.0,17.0,167
63.0,50.0,186
67.0,294.0,93
74.0,176.0,631
77.0,127.0,338
80.0,118.0,103
81.0,57.0,872
82.0,26.0,119
82.0,73.0,540
90.0,51.0,408
90.0,82.0,499
93.0,171.0,525
93.0,238.0,469
96.0,8.0,37
96.0,70.0,259
104.0,173.0,423
107.0,7.0,167
113.0,119.0,249
116.0,8.0,75
116.0,176.0,639
119.0,58.0,502
119.0,85.0,547
119.0,120.0,304
122.0,240.0,440
123.0,45.0,214
124.0,14.0,119
126.0,254.0,468
129.0,130.0,560
137.0,183.0,603
138.0,156.0,645
138.0,169.0,663
139.0,297.0,181
143.0,51.0,385
146.0,174.0,598
146.0,184.0,406
147.0,67.0,680
149.0,156.0,908
150.0,294.0,397
154.0,83.0,296
156.0,60.0,406
157.0,53.0,522
160.0,134.0,1251
162.0,160.0,393
163.0,181.0,555
167.0,83.0,632
168.0,284.0,971
170.0,101.0,570
174.0,179.0,349
175.0,188.0,487
181.0,164.0,823
183.0,173.0,538
184.0,148.0,735
185.0,35.0,287
190.0,121.0,647
193.0,72.0,583
195.0,14.0,85
200.0,174.0,1076
203.0,67.0,109
209.0,192.0,515
210.0,20.0,136
220.0,175.0,1145
221.0,77.0,562
221.0,237.0,699
221.0,267.0,488
226.0,258.0,299
230.0,84.0,666
230.0,194.0,829
236.0,76.0,226
236.0,235.0,264
238.0,65.0,200
238.0,175.0,491
239.0,88.0,326
240.0,277.0,569
241.0,290.0,286
243.0,272.0,473
247.0,46.0,522
247.0,93.0,616
247.0,175.0,323
254.0,261.0,690
256.0,74.0,1103
258.0,44.0,190
259.0,249.0,661
260.0,53.0,307
262.0,178.0,466
263.0,206.0,706
265.0,42.0,128
266.0,167.0,569
273.0,77.0,335
276.0,132.0,501
278.0,284.0,317
282.0,51.0,467
284.0,190.0,639
284.0,220.0,593
287.0,261.0,406
288.0,76.0,653
289.0,244.0,463
296.0,211.0,665
296.0,272.0,532
297.0,301.0,248
298.0,254.0,509
300.0,10.0,36
300.0,27.0,122
303.0,282.0,422
303.0,293.0,402
304.0,241.0,231
308.0,264.0,515
309.0,17.0,114
309.0,178.0,257
310.0,208.0,902
315.0,251.0,693
317.0,259.0,551
320.0,92.0,320
322.0,79.0,650
324.0,276.0,351
325.0,63.0,464
325.0,264.0,647
331.0,209.0,713
331.0,258.0,441
332.0,263.0,215
335.0,14.0,118
337.0,256.0,342
340.0,198.0,575
342.0,54.0,478
343.0,86.0,411
346.0,106.0,447
349.0,66.0,359
349.0,182.0,690
351.0,275.0,548
353.0,204.0,510
357.0,85.0,664
362.0,74.0,399
367.0,235.0,524
370.0,275.0,597
371.0,188.0,572
372.0,174.0,391
373.0,88.0,894
376.0,99.0,433
377.0,265.0,556
379.0,198.0,502
383.0,280.0,206
387.0,200.0,415
390.0,306.0,78
393.0,184.0,750
393.0,247.0,336
395.0,90.0,127
398.0,88.0,507
398.0,215.0,549
401.0,188.0,552
404.0,231.0,545
406.0,83.0,677
409.0,208.0,611
411.0,250.0,402
412.0,261.0,566
414.0,87.0,410
415.0,163.0,303
420.0,171.0,555
422.0,82.0,43
425.0,177.0,541
426.0,157.0,238
426.0,176.0,710
427.0,269.0,44
433.0,75.0,355
436.0,170.0,304
442.0,146.0,121
442.0,238.0,324
445.0,79.0,339
445.0,174.0,328
450.0,228.0,227
450.0,312.0,55
451.0,160.0,113
455.0,46.0,72
456.0,202.0,299
460.0,84.0,255
461.0,105.0,149
461.0,183.0,142
462.0,56.0,61
463.0,150.0,127
468.0,91.0,209
469.0,251.0,86
475.0,201.0,233
476.0,24.0,81
476.0,266.0,269
476.0,277.0,79
478.0,217.0,201
480.0,307.0,115
484.0,288.0,216
486.0,269.0,65
487.0,84.0,78
494.0,217.0,56
