x,y,n
5.0,140.0,175
10.0,170.0,443
10.0,247.0,119
13.0,207.0,211
14.0,133.0,221
14.0,283.0,87
16.0,193.0,185
17.0,90.0,126
17.0,265.0,136
19.0,256.0,37
20.0,145.0,576
21.0,206.0,240
24.0,271.0,222
26.0,100.0,762
26.0,132.0,564
28.0,153.0,431
28.0,170.0,392
29.0,68.0,151
29.0,290.0,473
33.0,202.0,249
33.0,215.0,174
34.0,156.0,218
35.0,132.0,608
35.0,178.0,308
37.0,92.0,263
37.0,243.0,635
38.0,266.0,241
40.0,82.0,261
40.0,83.0,289
40.0,100.0,543
40.0,146.0,245
43.0,132.0,318
43.0,156.0,101
44.0,218.0,443
47.0,274.0,585
49.0,292.0,502
52.0,86.0,686
52.0,109.0,79
54.0,210.0,495
54.0,229.0,620
55.0,129.0,54
58.0,306.0,166
60.0,275.0,580
62.0,296.0,337
63.0,257.0,287
67.0,34.0,46
67.0,121.0,70
68.0,169.0,21
69.0,62.0,522
74.0,92.0,182
79.0,82.0,239
84.0,64.0,527
84.0,174.0,99
95.0,299.0,85
99.0,254.0,142
111.0,281.0,79
112.0,193.0,220
117.0,269.0,184
118.0,317.0,315
124.0,307.0,106
138.0,67.0,259
139.0,263.0,483
157.0,134.0,112
171.0,269.0,371
173.0,164.0,307
173.0,231.0,798
183.0,214.0,573
187.0,149.0,607
187.0,237.0,673
188.0,162.0,269
188.0,256.0,388
194.0,224.0,610
196.0,240.0,395
204.0,162.0,779
206.0,187.0,103
209.0,252.0,663
214.0,211.0,273
216.0,266.0,444
220.0,164.0,150
220.0,184.0,215
222.0,152.0,1582
223.0,226.0,548
230.0,276.0,241
230.0,313.0,362
233.0,184.0,83
238.0,247.0,226
239.0,248.0,230
240.0,161.0,1585
249.0,131.0,342
249.0,248.0,720
256.0,206.0,745
256.0,226.0,448
257.0,148.0,218
258.0,162.0,866
260.0,135.0,1244
260.0,249.0,682
261.0,122.0,602
267.0,107.0,576
270.0,126.0,183
272.0,134.0,428
272.0,230.0,667
275.0,163.0,782
277.0,105.0,671
281.0,132.0,742
283.0,89.0,376
287.0,212.0,160
289.0,117.0,235
289.0,225.0,906
292.0,136.0,764
292.0,180.0,822
302.0,163.0,624
323.0,164.0,337
330.0,244.0,469
332.0,194.0,389
335.0,214.0,289
344.0,137.0,207
345.0,197.0,382
346.0,167.0,213
347.0,209.0,359
348.0,159.0,617
348.0,240.0,374
350.0,85.0,302
350.0,141.0,355
355.0,152.0,469
357.0,127.0,727
357.0,136.0,666
357.0,183.0,230
357.0,197.0,631
359.0,273.0,384
362.0,174.0,267
364.0,200.0,313
365.0,217.0,1157
367.0,150.0,353
369.0,218.0,905
370.0,181.0,497
372.0,124.0,340
373.0,116.0,437
373.0,192.0,195
373.0,208.0,436
374.0,141.0,426
375.0,157.0,702
378.0,112.0,313
378.0,249.0,615
379.0,213.0,286
381.0,232.0,784
383.0,185.0,316
389.0,116.0,623
391.0,142.0,632
394.0,243.0,602
397.0,166.0,361
399.0,227.0,817
404.0,239.0,1352
406.0,287.0,241
407.0,203.0,633
412.0,223.0,482
413.0,234.0,1290
416.0,268.0,340
418.0,169.0,198
418.0,192.0,549
421.0,33.0,55
422.0,68.0,25
423.0,50.0,282
425.0,296.0,462
427.0,283.0,448
429.0,235.0,449
429.0,265.0,924
430.0,187.0,522
430.0,253.0,338
432.0,156.0,145
433.0,292.0,930
440.0,204.0,303
440.0,285.0,496
442.0,268.0,1018
457.0,292.0,545
462.0,280.0,432
474.0,269.0,499
484.0,280.0,39
