x,y,n
6.0,241.0,61
9.0,271.0,79
10.0,285.0,77
11.0,178.0,125
14.0,233.0,141
14.0,255.0,98
19.0,274.0,128
23.0,243.0,179
24.0,260.0,173
25.0,40.0,32
27.0,112.0,557
27.0,288.0,214
35.0,204.0,175
35.0,231.0,209
36.0,276.0,148
40.0,261.0,315
51.0,241.0,381
52.0,96.0,97
53.0,276.0,204
63.0,88.0,123
67.0,286.0,179
68.0,337.0,177
69.0,198.0,288
69.0,224.0,188
70.0,301.0,150
71.0,319.0,194
80.0,89.0,174
80.0,91.0,159
80.0,280.0,139
84.0,74.0,406
89.0,328.0,81
95.0,274.0,256
100.0,250.0,401
101.0,237.0,242
101.0,261.0,39
104.0,321.0,218
105.0,335.0,96
107.0,303.0,233
111.0,266.0,404
111.0,343.0,101
120.0,336.0,95
125.0,318.0,177
126.0,304.0,62
128.0,338.0,74
131.0,327.0,206
132.0,56.0,258
135.0,220.0,152
147.0,302.0,232
148.0,276.0,625
153.0,335.0,90
182.0,271.0,394
186.0,72.0,319
189.0,295.0,174
192.0,346.0,66
193.0,327.0,157
196.0,68.0,519
196.0,179.0,650
196.0,276.0,207
197.0,305.0,198
198.0,319.0,356
202.0,265.0,589
204.0,84.0,315
204.0,86.0,253
207.0,313.0,382
209.0,330.0,148
210.0,214.0,383
213.0,257.0,228
218.0,126.0,124
219.0,343.0,42
220.0,321.0,123
224.0,313.0,260
226.0,280.0,311
227.0,223.0,253
230.0,252.0,1011
233.0,327.0,821
235.0,108.0,179
236.0,351.0,85
241.0,259.0,733
244.0,118.0,164
247.0,94.0,239
247.0,318.0,158
250.0,120.0,195
252.0,234.0,191
252.0,281.0,475
252.0,327.0,135
252.0,339.0,110
258.0,156.0,221
260.0,105.0,488
261.0,91.0,959
263.0,294.0,453
264.0,245.0,208
265.0,304.0,314
269.0,130.0,532
272.0,287.0,543
273.0,339.0,86
274.0,303.0,375
275.0,173.0,708
276.0,238.0,560
277.0,271.0,692
280.0,209.0,500
280.0,325.0,162
288.0,337.0,72
291.0,232.0,722
292.0,293.0,210
293.0,239.0,303
294.0,216.0,287
298.0,197.0,380
300.0,326.0,115
300.0,346.0,89
301.0,233.0,1040
308.0,312.0,132
312.0,222.0,377
313.0,124.0,333
316.0,335.0,93
321.0,241.0,220
322.0,86.0,486
322.0,352.0,74
323.0,187.0,538
324.0,322.0,117
329.0,202.0,684
329.0,343.0,116
334.0,190.0,326
337.0,59.0,208
340.0,74.0,654
340.0,306.0,166
342.0,151.0,521
342.0,314.0,248
343.0,334.0,94
344.0,323.0,228
348.0,220.0,669
352.0,344.0,114
360.0,261.0,595
363.0,19.0,70
365.0,333.0,96
366.0,73.0,396
366.0,319.0,117
371.0,171.0,574
377.0,242.0,571
377.0,329.0,45
378.0,93.0,271
380.0,351.0,62
382.0,338.0,143
384.0,87.0,246
384.0,202.0,230
385.0,303.0,142
387.0,321.0,179
388.0,330.0,96
389.0,58.0,305
389.0,158.0,580
392.0,229.0,635
396.0,69.0,178
399.0,201.0,138
401.0,16.0,62
401.0,173.0,387
403.0,164.0,46
403.0,227.0,402
403.0,330.0,151
404.0,302.0,283
405.0,127.0,743
407.0,277.0,327
407.0,353.0,219
408.0,342.0,109
409.0,319.0,246
413.0,120.0,453
414.0,231.0,109
416.0,215.0,585
416.0,255.0,191
418.0,166.0,580
420.0,116.0,152
421.0,16.0,69
421.0,193.0,480
422.0,296.0,434
424.0,339.0,136
424.0,357.0,77
425.0,261.0,173
426.0,246.0,170
427.0,179.0,526
429.0,319.0,296
432.0,351.0,116
436.0,240.0,184
441.0,265.0,125
442.0,16.0,136
443.0,277.0,230
445.0,171.0,509
445.0,323.0,144
446.0,294.0,285
446.0,336.0,96
449.0,315.0,143
450.0,212.0,387
451.0,260.0,325
454.0,354.0,73
456.0,328.0,190
459.0,171.0,633
462.0,297.0,219
463.0,22.0,96
463.0,157.0,387
466.0,276.0,430
468.0,339.0,66
470.0,262.0,432
471.0,317.0,370
475.0,141.0,203
483.0,20.0,63
486.0,142.0,242
487.0,41.0,26
491.0,336.0,64
492.0,315.0,74
493.0,144.0,110
