x,y,n
15.0,348.0,65
35.0,330.0,24
66.0,335.0,75
77.0,337.0,112
102.0,344.0,70
106.0,333.0,269
123.0,206.0,107
126.0,288.0,68
127.0,345.0,90
160.0,347.0,126
179.0,361.0,57
181.0,236.0,88
183.0,354.0,118
191.0,369.0,44
194.0,354.0,85
198.0,360.0,92
211.0,359.0,33
222.0,109.0,157
223.0,56.0,62
223.0,99.0,157
225.0,21.0,109
226.0,71.0,27
229.0,61.0,56
229.0,239.0,132
230.0,91.0,70
232.0,116.0,151
232.0,368.0,59
235.0,67.0,150
235.0,355.0,111
237.0,101.0,141
239.0,32.0,234
239.0,85.0,95
240.0,217.0,76
244.0,111.0,133
244.0,367.0,153
245.0,6.0,20
245.0,73.0,96
246.0,342.0,146
248.0,86.0,228
248.0,315.0,181
250.0,18.0,73
251.0,134.0,214
252.0,62.0,274
252.0,95.0,86
252.0,362.0,68
255.0,168.0,414
257.0,70.0,119
257.0,376.0,17
260.0,368.0,64
263.0,56.0,108
266.0,29.0,111
267.0,323.0,31
270.0,105.0,87
272.0,82.0,90
272.0,197.0,703
274.0,148.0,225
275.0,57.0,42
276.0,212.0,225
277.0,139.0,184
277.0,175.0,410
278.0,85.0,149
279.0,105.0,263
279.0,353.0,28
279.0,362.0,71
283.0,92.0,112
283.0,169.0,230
283.0,226.0,102
284.0,155.0,340
285.0,180.0,362
286.0,280.0,250
290.0,232.0,236
291.0,163.0,134
293.0,324.0,142
294.0,206.0,223
295.0,169.0,360
295.0,179.0,266
296.0,156.0,428
297.0,131.0,302
297.0,300.0,105
299.0,250.0,204
300.0,73.0,101
303.0,168.0,428
309.0,156.0,283
312.0,236.0,427
313.0,172.0,351
316.0,274.0,128
320.0,220.0,462
320.0,243.0,325
321.0,237.0,105
323.0,196.0,279
323.0,231.0,123
328.0,43.0,116
328.0,219.0,319
328.0,362.0,65
329.0,289.0,287
329.0,319.0,159
330.0,158.0,151
331.0,301.0,202
332.0,120.0,210
332.0,237.0,232
335.0,248.0,128
337.0,92.0,126
338.0,264.0,180
339.0,308.0,263
340.0,121.0,272
340.0,169.0,192
340.0,332.0,126
344.0,274.0,144
344.0,367.0,15
345.0,85.0,51
345.0,350.0,100
346.0,69.0,112
346.0,302.0,220
347.0,14.0,53
347.0,135.0,195
348.0,238.0,143
349.0,370.0,29
351.0,276.0,127
352.0,20.0,96
352.0,80.0,51
356.0,190.0,219
357.0,255.0,177
358.0,88.0,69
358.0,285.0,152
361.0,358.0,63
362.0,38.0,91
362.0,128.0,162
363.0,173.0,81
363.0,334.0,114
364.0,76.0,30
364.0,244.0,144
364.0,372.0,30
366.0,22.0,212
367.0,298.0,86
368.0,59.0,97
368.0,208.0,133
368.0,285.0,27
369.0,120.0,161
370.0,92.0,127
371.0,108.0,147
372.0,168.0,164
373.0,190.0,226
373.0,238.0,199
373.0,264.0,148
374.0,101.0,183
374.0,219.0,208
375.0,350.0,107
376.0,251.0,178
376.0,369.0,19
380.0,87.0,153
381.0,139.0,63
383.0,198.0,90
384.0,223.0,167
386.0,328.0,127
387.0,176.0,241
389.0,315.0,38
396.0,85.0,161
398.0,101.0,106
404.0,146.0,117
405.0,67.0,155
405.0,168.0,94
407.0,81.0,44
409.0,349.0,49
411.0,86.0,35
412.0,176.0,152
413.0,362.0,92
414.0,51.0,36
414.0,212.0,117
415.0,164.0,29
420.0,159.0,110
420.0,370.0,31
421.0,177.0,59
421.0,349.0,65
424.0,74.0,160
425.0,92.0,148
427.0,37.0,133
427.0,171.0,230
431.0,363.0,92
438.0,340.0,18
441.0,144.0,116
446.0,107.0,83
447.0,353.0,38
449.0,25.0,109
456.0,41.0,118
464.0,88.0,121
465.0,33.0,60
466.0,73.0,109
468.0,363.0,88
470.0,102.0,97
473.0,76.0,72
474.0,351.0,43
477.0,87.0,37
480.0,61.0,77
