x,y,n
56.0,363.0,29
74.0,352.0,19
77.0,371.0,7
78.0,362.0,19
91.0,341.0,178
97.0,366.0,81
103.0,361.0,124
110.0,323.0,140
111.0,350.0,113
130.0,356.0,74
141.0,355.0,270
157.0,367.0,13
167.0,351.0,145
167.0,366.0,54
184.0,355.0,293
187.0,140.0,459
191.0,295.0,461
191.0,360.0,169
193.0,344.0,409
194.0,352.0,276
199.0,361.0,34
201.0,131.0,447
201.0,266.0,425
203.0,113.0,519
203.0,338.0,278
204.0,316.0,442
207.0,286.0,198
209.0,304.0,550
212.0,133.0,276
213.0,339.0,438
215.0,347.0,251
217.0,326.0,110
218.0,369.0,27
220.0,152.0,676
221.0,122.0,349
221.0,144.0,428
221.0,256.0,442
222.0,242.0,410
222.0,282.0,441
222.0,359.0,35
224.0,101.0,330
224.0,300.0,724
227.0,367.0,36
229.0,155.0,502
230.0,129.0,462
230.0,174.0,745
230.0,229.0,469
230.0,291.0,396
234.0,130.0,315
234.0,163.0,483
237.0,249.0,358
240.0,240.0,545
240.0,302.0,606
240.0,331.0,117
241.0,292.0,425
241.0,312.0,170
242.0,277.0,150
244.0,350.0,89
248.0,287.0,466
248.0,331.0,197
249.0,147.0,507
249.0,215.0,597
250.0,226.0,231
251.0,298.0,161
251.0,365.0,21
254.0,241.0,513
254.0,311.0,351
256.0,208.0,339
256.0,231.0,568
256.0,274.0,449
257.0,114.0,441
257.0,221.0,528
258.0,349.0,268
262.0,281.0,104
263.0,256.0,353
264.0,262.0,56
265.0,270.0,127
266.0,288.0,56
267.0,329.0,181
267.0,366.0,16
268.0,312.0,233
269.0,223.0,385
272.0,134.0,401
274.0,358.0,41
275.0,350.0,186
276.0,245.0,311
278.0,325.0,297
283.0,262.0,296
286.0,230.0,600
289.0,318.0,391
290.0,308.0,529
291.0,249.0,840
292.0,263.0,444
295.0,305.0,427
297.0,339.0,338
298.0,322.0,268
300.0,266.0,264
300.0,354.0,81
305.0,320.0,513
308.0,344.0,278
309.0,296.0,609
310.0,359.0,147
311.0,331.0,291
314.0,370.0,14
317.0,256.0,593
321.0,268.0,409
324.0,281.0,446
327.0,370.0,19
330.0,275.0,596
331.0,311.0,635
333.0,284.0,1086
335.0,353.0,104
336.0,326.0,574
339.0,299.0,257
340.0,347.0,148
341.0,338.0,287
342.0,292.0,83
343.0,316.0,446
349.0,327.0,490
352.0,339.0,333
352.0,350.0,169
354.0,282.0,613
357.0,314.0,99
359.0,335.0,301
364.0,354.0,53
365.0,311.0,124
366.0,298.0,330
370.0,270.0,499
370.0,289.0,565
370.0,332.0,63
371.0,321.0,54
373.0,360.0,35
375.0,368.0,21
381.0,310.0,313
387.0,370.0,7
389.0,361.0,30
392.0,292.0,400
396.0,341.0,201
406.0,322.0,172
408.0,351.0,342
412.0,318.0,374
413.0,310.0,320
418.0,364.0,15
419.0,340.0,237
422.0,353.0,92
427.0,345.0,426
428.0,336.0,124
435.0,350.0,252
436.0,362.0,16
447.0,344.0,129
450.0,314.0,150
450.0,323.0,143
463.0,364.0,12
473.0,313.0,189
474.0,353.0,33
477.0,340.0,20
480.0,362.0,19
482.0,309.0,91
485.0,325.0,23
485.0,369.0,28
486.0,343.0,16
