x,y,n
27.0,117.0,142
33.0,93.0,152
34.0,109.0,315
37.0,132.0,116
41.0,66.0,119
42.0,163.0,95
43.0,102.0,182
43.0,116.0,162
44.0,202.0,147
44.0,243.0,41
52.0,76.0,106
53.0,91.0,162
57.0,129.0,243
57.0,149.0,212
64.0,104.0,163
67.0,206.0,290
69.0,136.0,195
78.0,248.0,259
79.0,76.0,188
79.0,110.0,121
81.0,206.0,200
82.0,148.0,238
83.0,125.0,265
85.0,61.0,152
90.0,106.0,232
96.0,92.0,166
107.0,151.0,91
115.0,200.0,246
127.0,179.0,355
128.0,112.0,267
132.0,154.0,243
133.0,199.0,174
138.0,150.0,252
139.0,116.0,465
141.0,204.0,339
143.0,177.0,314
144.0,243.0,451
145.0,231.0,230
146.0,81.0,242
148.0,62.0,168
148.0,110.0,172
149.0,133.0,440
150.0,161.0,1050
151.0,198.0,675
155.0,117.0,320
159.0,247.0,619
159.0,264.0,493
162.0,153.0,421
167.0,63.0,140
171.0,248.0,537
175.0,157.0,541
176.0,198.0,485
184.0,71.0,104
185.0,182.0,505
186.0,166.0,299
187.0,54.0,199
195.0,202.0,700
197.0,89.0,300
203.0,167.0,1045
204.0,146.0,223
205.0,241.0,382
206.0,89.0,703
207.0,67.0,274
208.0,201.0,305
209.0,127.0,564
211.0,182.0,748
218.0,108.0,658
221.0,156.0,566
223.0,77.0,252
227.0,198.0,667
230.0,59.0,200
230.0,232.0,552
232.0,174.0,878
237.0,123.0,499
240.0,249.0,402
242.0,193.0,294
246.0,78.0,373
254.0,221.0,636
258.0,166.0,492
258.0,233.0,787
259.0,199.0,293
260.0,255.0,185
262.0,63.0,116
266.0,149.0,440
267.0,156.0,155
268.0,174.0,605
268.0,230.0,272
274.0,151.0,166
275.0,224.0,91
277.0,160.0,464
281.0,32.0,173
287.0,67.0,193
287.0,99.0,792
288.0,175.0,624
292.0,264.0,490
295.0,236.0,395
298.0,173.0,406
298.0,258.0,336
300.0,189.0,863
301.0,125.0,410
302.0,104.0,576
306.0,131.0,787
309.0,119.0,385
311.0,176.0,517
311.0,270.0,354
312.0,61.0,397
312.0,185.0,735
314.0,216.0,268
315.0,89.0,264
315.0,141.0,651
315.0,158.0,781
315.0,225.0,586
316.0,200.0,803
317.0,260.0,266
319.0,113.0,492
325.0,60.0,215
325.0,186.0,825
326.0,41.0,111
331.0,101.0,354
335.0,113.0,312
335.0,153.0,552
336.0,68.0,221
338.0,135.0,363
339.0,88.0,485
345.0,66.0,144
351.0,187.0,362
351.0,271.0,166
352.0,64.0,196
352.0,209.0,1200
352.0,235.0,187
353.0,249.0,451
354.0,85.0,257
356.0,99.0,607
361.0,75.0,124
362.0,62.0,194
362.0,94.0,294
363.0,111.0,401
364.0,238.0,743
365.0,254.0,473
371.0,183.0,313
371.0,197.0,362
372.0,105.0,366
375.0,117.0,532
376.0,63.0,185
376.0,132.0,531
376.0,206.0,572
376.0,216.0,257
378.0,190.0,609
380.0,235.0,570
382.0,85.0,410
383.0,199.0,521
386.0,62.0,142
387.0,164.0,698
387.0,178.0,387
387.0,209.0,429
388.0,74.0,294
389.0,220.0,542
390.0,195.0,143
394.0,149.0,148
396.0,195.0,579
398.0,65.0,209
398.0,136.0,412
400.0,83.0,403
402.0,207.0,318
403.0,222.0,286
407.0,44.0,130
407.0,121.0,148
409.0,84.0,451
410.0,101.0,206
411.0,137.0,238
418.0,70.0,87
419.0,102.0,173
422.0,165.0,206
423.0,110.0,158
424.0,128.0,178
424.0,190.0,203
427.0,90.0,174
435.0,139.0,54
435.0,154.0,257
438.0,44.0,77
440.0,113.0,281
445.0,102.0,161
447.0,121.0,155
450.0,161.0,186
456.0,143.0,157
457.0,90.0,104
460.0,125.0,139
461.0,103.0,130
473.0,155.0,70
474.0,114.0,118
476.0,101.0,133
