x,y,n
7.0,309.0,27
11.0,250.0,38
15.0,418.0,40
15.0,529.0,29
16.0,433.0,31
18.0,259.0,78
21.0,123.0,70
23.0,172.0,60
27.0,381.0,83
30.0,316.0,131
30.0,427.0,74
32.0,399.0,50
33.0,324.0,107
34.0,257.0,235
34.0,337.0,40
36.0,235.0,253
37.0,179.0,168
37.0,527.0,28
42.0,116.0,117
47.0,511.0,44
48.0,128.0,63
50.0,293.0,208
50.0,420.0,95
51.0,524.0,7
51.0,532.0,15
52.0,247.0,290
52.0,401.0,37
54.0,380.0,92
56.0,411.0,29
57.0,269.0,216
57.0,360.0,62
58.0,367.0,42
60.0,313.0,132
63.0,121.0,161
64.0,237.0,305
64.0,258.0,186
64.0,329.0,158
66.0,110.0,191
69.0,157.0,206
69.0,303.0,177
70.0,403.0,91
70.0,511.0,32
72.0,351.0,81
75.0,230.0,274
77.0,420.0,75
83.0,394.0,103
84.0,304.0,106
85.0,509.0,38
86.0,249.0,63
88.0,152.0,93
97.0,386.0,56
97.0,394.0,31
101.0,120.0,144
106.0,362.0,36
107.0,492.0,23
108.0,378.0,3
108.0,526.0,24
109.0,371.0,37
111.0,515.0,32
112.0,356.0,55
116.0,491.0,35
117.0,480.0,74
123.0,426.0,111
124.0,240.0,591
125.0,394.0,83
127.0,147.0,327
127.0,530.0,15
129.0,366.0,122
130.0,481.0,127
135.0,103.0,205
135.0,496.0,29
137.0,505.0,65
138.0,196.0,395
138.0,238.0,406
141.0,130.0,450
144.0,354.0,62
148.0,468.0,69
148.0,511.0,11
152.0,401.0,39
152.0,496.0,33
154.0,480.0,23
155.0,234.0,289
155.0,351.0,188
158.0,440.0,90
160.0,366.0,86
160.0,479.0,8
162.0,243.0,371
163.0,516.0,66
164.0,221.0,421
170.0,234.0,391
170.0,277.0,195
171.0,320.0,167
171.0,395.0,102
174.0,464.0,57
175.0,493.0,28
176.0,261.0,230
176.0,341.0,146
176.0,503.0,53
177.0,117.0,36
177.0,208.0,386
178.0,294.0,261
178.0,435.0,42
179.0,243.0,235
182.0,235.0,317
182.0,495.0,56
186.0,467.0,66
187.0,372.0,264
187.0,504.0,41
188.0,531.0,13
192.0,140.0,504
192.0,228.0,376
193.0,512.0,34
195.0,76.0,233
200.0,502.0,35
202.0,414.0,180
203.0,519.0,29
205.0,359.0,363
206.0,101.0,158
