x,y,n
14.0,94.0,507
14.0,106.0,340
15.0,270.0,4
16.0,243.0,158
20.0,100.0,228
20.0,229.0,368
20.0,257.0,615
22.0,76.0,318
22.0,198.0,400
23.0,190.0,136
24.0,29.0,323
24.0,49.0,355
25.0,269.0,87
26.0,243.0,327
27.0,214.0,551
31.0,184.0,439
33.0,144.0,530
34.0,74.0,307
34.0,92.0,585
35.0,254.0,473
37.0,227.0,577
38.0,196.0,540
39.0,267.0,252
47.0,271.0,228
51.0,109.0,285
54.0,207.0,1336
55.0,230.0,724
55.0,241.0,470
60.0,139.0,1118
62.0,42.0,247
62.0,184.0,371
65.0,154.0,324
67.0,252.0,146
70.0,194.0,662
70.0,219.0,1327
71.0,76.0,657
72.0,173.0,497
73.0,127.0,831
82.0,229.0,716
84.0,115.0,795
84.0,165.0,259
85.0,201.0,745
89.0,76.0,211
91.0,89.0,116
91.0,239.0,511
91.0,256.0,539
94.0,103.0,366
96.0,187.0,639
96.0,231.0,359
97.0,206.0,544
98.0,248.0,499
103.0,82.0,514
104.0,232.0,387
106.0,60.0,419
107.0,218.0,345
117.0,186.0,192
119.0,250.0,211
124.0,138.0,429
155.0,159.0,132
179.0,93.0,26
204.0,248.0,463
211.0,260.0,536
216.0,251.0,767
222.0,273.0,20
225.0,257.0,180
235.0,215.0,416
237.0,264.0,15
245.0,237.0,227
248.0,189.0,307
252.0,109.0,191
266.0,105.0,611
268.0,266.0,38
272.0,138.0,428
275.0,111.0,576
275.0,148.0,178
275.0,155.0,304
276.0,100.0,337
279.0,146.0,912
280.0,170.0,520
282.0,233.0,265
283.0,233.0,249
283.0,259.0,184
286.0,137.0,523
288.0,187.0,349
289.0,159.0,1005
292.0,217.0,782
293.0,100.0,562
297.0,207.0,323
298.0,145.0,477
300.0,216.0,558
302.0,73.0,1013
302.0,104.0,508
303.0,154.0,392
311.0,109.0,588
311.0,215.0,452
311.0,243.0,504
312.0,127.0,405
316.0,40.0,212
318.0,256.0,475
328.0,114.0,371
328.0,191.0,523
334.0,251.0,463
336.0,134.0,369
345.0,245.0,406
347.0,163.0,142
347.0,267.0,53
348.0,97.0,583
348.0,255.0,320
361.0,137.0,396
362.0,231.0,507
364.0,123.0,180
375.0,154.0,419
383.0,136.0,682
386.0,254.0,543
393.0,235.0,331
401.0,156.0,225
406.0,244.0,514
411.0,253.0,325
415.0,228.0,531
421.0,178.0,582
429.0,77.0,260
432.0,247.0,567
434.0,153.0,421
435.0,57.0,368
435.0,69.0,253
436.0,92.0,154
437.0,104.0,290
437.0,128.0,245
438.0,164.0,304
439.0,176.0,317
443.0,41.0,281
444.0,72.0,465
444.0,195.0,329
446.0,108.0,646
447.0,144.0,246
449.0,179.0,353
449.0,218.0,421
452.0,54.0,367
455.0,87.0,583
456.0,122.0,418
456.0,240.0,267
458.0,158.0,722
460.0,35.0,111
462.0,193.0,757
465.0,101.0,104
466.0,137.0,164
466.0,229.0,210
466.0,256.0,77
468.0,174.0,182
471.0,45.0,547
472.0,210.0,189
472.0,222.0,240
473.0,81.0,178
474.0,273.0,7
475.0,117.0,62
477.0,153.0,149
477.0,243.0,334
479.0,32.0,180
479.0,190.0,369
481.0,60.0,133
482.0,96.0,170
482.0,225.0,299
483.0,262.0,96
484.0,133.0,235
485.0,249.0,111
488.0,206.0,173
