x,y,n
12.0,432.0,186
13.0,475.0,216
21.0,501.0,131
25.0,564.0,277
29.0,280.0,377
32.0,475.0,248
40.0,262.0,471
45.0,473.0,270
46.0,242.0,185
48.0,187.0,188
60.0,281.0,521
62.0,471.0,288
62.0,517.0,186
64.0,629.0,71
67.0,544.0,303
69.0,257.0,370
84.0,199.0,313
91.0,331.0,346
92.0,256.0,305
95.0,387.0,637
98.0,271.0,424
98.0,292.0,239
102.0,340.0,279
102.0,460.0,268
105.0,531.0,375
112.0,402.0,238
113.0,502.0,145
114.0,424.0,408
115.0,602.0,185
116.0,467.0,481
118.0,213.0,311
120.0,489.0,342
121.0,455.0,350
122.0,413.0,218
123.0,306.0,332
125.0,281.0,391
129.0,344.0,438
129.0,579.0,191
131.0,557.0,293
133.0,309.0,404
133.0,520.0,354
138.0,317.0,190
142.0,183.0,290
144.0,305.0,215
145.0,460.0,517
149.0,634.0,127
153.0,523.0,252
155.0,237.0,1219
155.0,588.0,281
157.0,536.0,324
159.0,492.0,302
161.0,305.0,388
163.0,504.0,444
166.0,616.0,279
171.0,468.0,520
175.0,280.0,820
176.0,112.0,271
177.0,295.0,386
184.0,205.0,772
184.0,475.0,199
188.0,295.0,475
188.0,450.0,477
195.0,311.0,230
198.0,175.0,697
198.0,251.0,306
198.0,378.0,98
199.0,237.0,381
199.0,266.0,310
200.0,221.0,291
203.0,211.0,340
204.0,292.0,728
204.0,365.0,678
213.0,219.0,472
218.0,185.0,888
220.0,306.0,319
221.0,606.0,306
222.0,229.0,562
223.0,330.0,1324
224.0,53.0,252
225.0,586.0,227
227.0,274.0,733
231.0,297.0,252
234.0,179.0,472
234.0,558.0,489
239.0,585.0,693
239.0,602.0,175
240.0,175.0,1190
241.0,387.0,672
249.0,354.0,263
252.0,520.0,678
260.0,78.0,419
260.0,200.0,586
260.0,343.0,628
261.0,549.0,479
266.0,500.0,144
269.0,388.0,432
272.0,611.0,188
281.0,622.0,172
284.0,484.0,363
287.0,420.0,371
288.0,471.0,420
288.0,517.0,439
290.0,235.0,355
293.0,322.0,702
294.0,393.0,341
297.0,621.0,274
299.0,470.0,200
300.0,58.0,186
301.0,527.0,260
306.0,397.0,668
310.0,145.0,666
310.0,587.0,246
311.0,212.0,350
312.0,335.0,494
312.0,353.0,594
314.0,532.0,256
316.0,204.0,489
321.0,247.0,526
321.0,455.0,394
322.0,180.0,380
327.0,602.0,216
329.0,298.0,522
330.0,87.0,564
333.0,491.0,286
334.0,540.0,238
337.0,417.0,369
339.0,188.0,464
339.0,496.0,353
345.0,628.0,164
346.0,136.0,139
346.0,151.0,410
346.0,248.0,293
346.0,417.0,170
350.0,600.0,518
350.0,613.0,249
351.0,507.0,917
352.0,252.0,958
355.0,289.0,368
358.0,491.0,350
361.0,280.0,304
365.0,613.0,224
367.0,536.0,298
368.0,606.0,234
371.0,596.0,286
372.0,260.0,572
376.0,76.0,395
379.0,189.0,580
379.0,240.0,686
379.0,518.0,763
382.0,346.0,515
382.0,527.0,265
384.0,287.0,448
386.0,221.0,468
388.0,476.0,519
389.0,591.0,285
392.0,208.0,267
398.0,605.0,291
406.0,262.0,655
406.0,467.0,172
408.0,212.0,517
410.0,298.0,568
413.0,97.0,395
417.0,525.0,309
418.0,321.0,463
418.0,554.0,620
419.0,601.0,286
420.0,337.0,238
420.0,456.0,74
421.0,613.0,275
422.0,568.0,231
423.0,402.0,299
423.0,428.0,411
423.0,495.0,83
424.0,463.0,530
426.0,518.0,470
430.0,627.0,136
432.0,181.0,336
435.0,298.0,221
438.0,248.0,445
438.0,491.0,467
438.0,514.0,232
447.0,322.0,280
447.0,437.0,326
448.0,219.0,174
449.0,358.0,214
449.0,375.0,310
459.0,256.0,309
463.0,427.0,197
468.0,629.0,108
470.0,405.0,155
471.0,345.0,149
471.0,560.0,191
475.0,127.0,117
476.0,392.0,225
477.0,178.0,164
484.0,405.0,164
487.0,266.0,136
488.0,559.0,100
488.0,595.0,126
