x,y,n
6.0,155.0,65
7.0,83.0,42
7.0,95.0,48
11.0,16.0,89
11.0,110.0,48
17.0,130.0,24
17.0,188.0,91
18.0,92.0,54
18.0,116.0,22
20.0,137.0,50
22.0,108.0,30
22.0,159.0,22
23.0,34.0,169
23.0,201.0,60
26.0,164.0,138
29.0,184.0,512
31.0,149.0,269
32.0,96.0,118
33.0,169.0,271
35.0,133.0,293
39.0,155.0,432
39.0,197.0,264
40.0,75.0,211
41.0,86.0,419
43.0,39.0,263
43.0,170.0,97
44.0,184.0,65
48.0,124.0,328
53.0,202.0,400
55.0,119.0,275
55.0,120.0,276
58.0,91.0,621
60.0,67.0,340
61.0,113.0,296
61.0,114.0,308
62.0,145.0,327
63.0,122.0,249
63.0,190.0,229
65.0,198.0,383
66.0,46.0,311
74.0,82.0,217
74.0,118.0,322
75.0,38.0,280
77.0,174.0,402
78.0,69.0,309
81.0,52.0,344
81.0,138.0,372
81.0,156.0,347
82.0,44.0,303
82.0,101.0,288
82.0,108.0,274
86.0,195.0,578
87.0,116.0,367
88.0,105.0,306
91.0,179.0,377
93.0,92.0,360
94.0,47.0,154
96.0,107.0,367
97.0,125.0,562
102.0,243.0,400
104.0,116.0,208
105.0,142.0,341
109.0,51.0,319
111.0,106.0,167
111.0,136.0,483
111.0,188.0,341
113.0,158.0,354
115.0,120.0,436
116.0,34.0,91
116.0,75.0,149
116.0,143.0,361
119.0,152.0,844
121.0,166.0,227
121.0,261.0,170
122.0,132.0,456
122.0,233.0,409
125.0,115.0,418
126.0,68.0,66
127.0,172.0,527
128.0,189.0,451
131.0,288.0,340
134.0,120.0,580
135.0,65.0,323
135.0,85.0,333
136.0,131.0,528
139.0,40.0,300
141.0,137.0,467
144.0,98.0,390
145.0,93.0,233
146.0,49.0,655
146.0,262.0,784
147.0,10.0,85
151.0,20.0,27
152.0,7.0,96
152.0,17.0,141
153.0,44.0,401
153.0,117.0,464
153.0,118.0,573
154.0,133.0,535
156.0,12.0,75
156.0,30.0,200
157.0,50.0,457
157.0,69.0,492
158.0,273.0,305
159.0,81.0,380
161.0,7.0,45
161.0,17.0,92
161.0,31.0,118
162.0,53.0,285
163.0,34.0,421
164.0,72.0,473
166.0,195.0,509
167.0,111.0,509
168.0,100.0,516
172.0,36.0,312
172.0,46.0,327
173.0,78.0,371
173.0,255.0,513
173.0,292.0,384
176.0,92.0,1079
176.0,278.0,513
177.0,110.0,460
177.0,128.0,486
178.0,51.0,239
178.0,266.0,380
182.0,64.0,811
183.0,14.0,77
185.0,36.0,279
187.0,113.0,601
187.0,133.0,521
191.0,21.0,108
195.0,249.0,285
199.0,124.0,578
200.0,58.0,293
201.0,277.0,476
204.0,243.0,278
207.0,207.0,262
213.0,118.0,593
215.0,95.0,234
215.0,250.0,573
215.0,286.0,393
218.0,13.0,77
218.0,232.0,638
219.0,126.0,322
224.0,102.0,808
225.0,261.0,556
227.0,117.0,615
228.0,183.0,563
228.0,192.0,549
230.0,275.0,492
232.0,215.0,469
233.0,243.0,487
235.0,51.0,22
237.0,257.0,180
239.0,253.0,321
240.0,194.0,766
242.0,172.0,1010
242.0,284.0,294
243.0,205.0,1543
244.0,110.0,596
244.0,226.0,511
245.0,119.0,931
249.0,219.0,464
250.0,103.0,129
253.0,142.0,397
257.0,208.0,702
258.0,100.0,211
259.0,52.0,349
261.0,279.0,341
263.0,167.0,794
265.0,187.0,617
265.0,245.0,581
266.0,121.0,946
266.0,157.0,282
267.0,147.0,671
270.0,178.0,614
271.0,39.0,436
272.0,220.0,716
273.0,116.0,545
273.0,166.0,619
274.0,107.0,499
286.0,22.0,180
286.0,106.0,578
286.0,198.0,619
287.0,230.0,607
288.0,121.0,683
288.0,248.0,452
291.0,160.0,370
295.0,85.0,433
297.0,176.0,208
298.0,182.0,359
299.0,223.0,382
299.0,260.0,636
300.0,34.0,365
302.0,150.0,542
302.0,208.0,62
304.0,158.0,133
304.0,208.0,452
305.0,18.0,118
307.0,9.0,26
309.0,64.0,391
311.0,55.0,512
313.0,102.0,265
314.0,28.0,103
314.0,176.0,618
315.0,280.0,418
318.0,6.0,71
318.0,75.0,454
320.0,242.0,541
323.0,185.0,543
325.0,65.0,423
326.0,10.0,24
326.0,111.0,481
329.0,90.0,503
330.0,194.0,524
332.0,31.0,210
336.0,150.0,473
336.0,179.0,1412
337.0,103.0,387
338.0,250.0,670
339.0,43.0,159
339.0,74.0,236
339.0,268.0,748
340.0,140.0,971
347.0,133.0,723
348.0,170.0,381
350.0,89.0,192
351.0,188.0,485
353.0,125.0,375
355.0,34.0,372
356.0,68.0,232
356.0,175.0,344
357.0,266.0,511
360.0,226.0,518
361.0,186.0,463
362.0,137.0,197
365.0,122.0,405
365.0,134.0,141
367.0,162.0,375
367.0,241.0,333
370.0,210.0,325
371.0,251.0,532
372.0,170.0,498
373.0,140.0,465
375.0,80.0,180
375.0,129.0,541
376.0,222.0,346
379.0,24.0,97
382.0,233.0,476
384.0,263.0,335
393.0,153.0,357
394.0,123.0,107
394.0,246.0,491
406.0,224.0,602
409.0,98.0,293
410.0,142.0,399
415.0,247.0,264
416.0,219.0,244
418.0,168.0,81
425.0,236.0,310
429.0,129.0,235
432.0,166.0,358
435.0,252.0,385
439.0,130.0,280
446.0,117.0,234
453.0,165.0,101
456.0,92.0,311
464.0,119.0,289
469.0,202.0,91
474.0,157.0,254
477.0,82.0,41
479.0,141.0,82
481.0,58.0,130
483.0,101.0,165
490.0,117.0,105
