x,y,n
10.0,67.0,39
10.0,113.0,41
11.0,100.0,57
12.0,85.0,46
19.0,111.0,154
24.0,209.0,343
27.0,130.0,563
33.0,135.0,183
40.0,189.0,575
42.0,116.0,585
49.0,151.0,568
50.0,39.0,72
50.0,132.0,666
53.0,193.0,507
54.0,241.0,144
60.0,210.0,246
64.0,84.0,392
68.0,130.0,1129
73.0,190.0,506
75.0,104.0,628
75.0,226.0,490
76.0,52.0,310
81.0,211.0,248
82.0,256.0,168
85.0,240.0,698
86.0,68.0,168
87.0,58.0,701
90.0,49.0,553
93.0,77.0,433
95.0,39.0,99
98.0,57.0,811
98.0,84.0,305
99.0,96.0,652
101.0,193.0,654
111.0,279.0,385
112.0,204.0,285
114.0,50.0,484
118.0,100.0,692
120.0,57.0,80
122.0,190.0,505
126.0,86.0,702
128.0,213.0,539
129.0,155.0,381
129.0,229.0,304
133.0,250.0,400
134.0,66.0,611
137.0,99.0,425
141.0,135.0,658
142.0,149.0,436
144.0,93.0,148
145.0,111.0,446
147.0,61.0,315
153.0,109.0,441
157.0,70.0,524
158.0,87.0,663
158.0,125.0,645
162.0,58.0,286
167.0,110.0,300
169.0,111.0,252
170.0,123.0,338
177.0,62.0,300
179.0,44.0,55
179.0,45.0,76
180.0,91.0,434
190.0,71.0,540
201.0,66.0,183
205.0,137.0,759
220.0,124.0,171
232.0,85.0,814
234.0,51.0,418
241.0,67.0,319
250.0,113.0,481
251.0,231.0,364
252.0,99.0,768
256.0,151.0,421
257.0,48.0,594
258.0,76.0,555
260.0,189.0,439
260.0,232.0,420
264.0,94.0,328
267.0,152.0,809
268.0,97.0,591
268.0,198.0,532
269.0,61.0,952
270.0,36.0,195
271.0,238.0,852
272.0,120.0,601
273.0,11.0,343
273.0,73.0,258
273.0,85.0,596
276.0,214.0,731
278.0,32.0,221
278.0,157.0,433
278.0,196.0,493
279.0,47.0,885
282.0,206.0,378
288.0,39.0,384
288.0,53.0,401
289.0,97.0,629
290.0,109.0,496
298.0,104.0,391
299.0,48.0,369
314.0,108.0,349
321.0,115.0,398
323.0,77.0,213
335.0,36.0,373
351.0,68.0,561
364.0,127.0,625
371.0,117.0,667
374.0,56.0,857
374.0,73.0,372
374.0,143.0,535
375.0,23.0,302
375.0,90.0,385
376.0,31.0,254
376.0,106.0,547
386.0,81.0,565
388.0,144.0,315
389.0,171.0,553
394.0,60.0,412
397.0,69.0,552
397.0,90.0,509
397.0,136.0,653
398.0,171.0,231
403.0,163.0,241
406.0,73.0,241
406.0,171.0,434
408.0,49.0,380
410.0,106.0,624
412.0,162.0,110
414.0,86.0,479
418.0,44.0,527
419.0,120.0,281
423.0,148.0,685
429.0,46.0,270
429.0,77.0,327
432.0,61.0,875
432.0,92.0,801
440.0,76.0,382
450.0,137.0,571
451.0,54.0,717
451.0,83.0,465
452.0,69.0,633
453.0,31.0,119
455.0,187.0,366
456.0,20.0,8
460.0,24.0,186
461.0,25.0,192
462.0,78.0,351
463.0,171.0,411
464.0,62.0,462
468.0,44.0,504
468.0,129.0,457
469.0,149.0,588
470.0,92.0,298
476.0,78.0,442
476.0,112.0,450
476.0,135.0,565
481.0,64.0,212
483.0,86.0,101
485.0,126.0,350
