x,y,n
16.0,59.0,49
37.0,326.0,84
38.0,10.0,212
51.0,269.0,398
54.0,39.0,92
61.0,326.0,135
74.0,326.0,101
76.0,217.0,292
89.0,179.0,201
89.0,326.0,125
104.0,224.0,278
140.0,312.0,44
143.0,266.0,119
160.0,26.0,71
173.0,263.0,168
179.0,240.0,502
191.0,317.0,122
200.0,248.0,651
210.0,236.0,701
216.0,255.0,533
223.0,187.0,1139
227.0,212.0,760
236.0,237.0,621
249.0,258.0,359
249.0,259.0,339
254.0,13.0,160
254.0,155.0,255
254.0,238.0,1009
256.0,12.0,156
257.0,139.0,497
264.0,23.0,146
265.0,147.0,710
267.0,252.0,363
269.0,237.0,98
273.0,271.0,242
278.0,149.0,780
279.0,176.0,45
285.0,127.0,1268
289.0,142.0,991
291.0,160.0,684
296.0,200.0,1278
297.0,181.0,1224
301.0,33.0,132
302.0,16.0,127
303.0,127.0,604
303.0,143.0,546
306.0,173.0,550
311.0,13.0,76
312.0,199.0,583
316.0,25.0,234
317.0,34.0,652
320.0,107.0,871
328.0,19.0,257
331.0,36.0,482
332.0,190.0,848
333.0,25.0,284
334.0,11.0,120
338.0,20.0,174
343.0,16.0,118
348.0,8.0,84
349.0,326.0,40
350.0,19.0,145
352.0,193.0,555
356.0,13.0,50
368.0,9.0,95
368.0,21.0,258
371.0,30.0,100
372.0,194.0,681
383.0,20.0,231
402.0,196.0,970
409.0,287.0,492
411.0,156.0,535
415.0,26.0,195
420.0,318.0,189
423.0,301.0,360
424.0,15.0,281
426.0,223.0,528
427.0,151.0,722
429.0,160.0,743
435.0,167.0,770
440.0,283.0,450
443.0,326.0,50
446.0,202.0,654
449.0,50.0,641
449.0,177.0,835
451.0,66.0,305
459.0,248.0,1132
462.0,213.0,578
462.0,327.0,62
463.0,137.0,602
469.0,225.0,775
471.0,63.0,117
474.0,106.0,143
474.0,266.0,94
475.0,166.0,227
483.0,197.0,118
487.0,277.0,95
487.0,305.0,44
488.0,11.0,172
491.0,316.0,33
