x,y,n
24.0,392.0,37
25.0,416.0,188
40.0,282.0,121
41.0,432.0,21
54.0,252.0,65
54.0,416.0,268
59.0,546.0,71
72.0,544.0,121
76.0,148.0,101
77.0,486.0,202
80.0,553.0,181
81.0,454.0,46
87.0,392.0,363
88.0,566.0,81
93.0,477.0,166
103.0,297.0,274
104.0,505.0,341
106.0,445.0,132
108.0,555.0,41
118.0,500.0,415
120.0,476.0,194
122.0,439.0,200
127.0,535.0,79
129.0,448.0,149
136.0,557.0,105
139.0,455.0,131
141.0,490.0,221
146.0,71.0,35
149.0,388.0,379
153.0,518.0,24
159.0,454.0,118
169.0,470.0,39
173.0,288.0,308
174.0,478.0,16
182.0,626.0,39
186.0,520.0,18
187.0,601.0,128
193.0,150.0,215
197.0,314.0,764
199.0,269.0,715
203.0,449.0,368
207.0,423.0,411
208.0,274.0,98
210.0,557.0,64
224.0,278.0,665
227.0,362.0,393
227.0,581.0,308
233.0,245.0,424
235.0,175.0,331
235.0,263.0,810
236.0,434.0,34
238.0,446.0,75
239.0,577.0,174
244.0,335.0,689
245.0,478.0,219
248.0,375.0,312
248.0,384.0,496
248.0,518.0,228
250.0,410.0,641
250.0,519.0,226
251.0,557.0,234
252.0,295.0,341
252.0,574.0,169
253.0,316.0,162
254.0,362.0,659
255.0,102.0,181
260.0,121.0,149
263.0,635.0,104
264.0,386.0,427
266.0,140.0,81
267.0,438.0,445
269.0,469.0,169
273.0,284.0,705
274.0,338.0,378
276.0,240.0,1080
276.0,572.0,223
277.0,110.0,217
282.0,546.0,248
283.0,412.0,276
284.0,533.0,97
286.0,524.0,192
291.0,509.0,8
292.0,509.0,6
295.0,174.0,463
298.0,457.0,58
301.0,492.0,15
302.0,271.0,204
310.0,199.0,56
310.0,284.0,750
312.0,297.0,439
319.0,439.0,73
322.0,281.0,539
323.0,239.0,351
326.0,132.0,263
326.0,271.0,481
333.0,619.0,233
340.0,550.0,158
341.0,270.0,614
342.0,520.0,81
343.0,204.0,140
346.0,613.0,104
352.0,510.0,220
357.0,474.0,218
358.0,354.0,538
366.0,412.0,318
367.0,349.0,299
368.0,395.0,425
371.0,380.0,109
373.0,295.0,277
374.0,422.0,85
374.0,612.0,90
377.0,401.0,244
398.0,443.0,20
