x,y,n
11.0,259.0,226
19.0,244.0,433
28.0,176.0,1110
30.0,116.0,599
32.0,223.0,975
32.0,313.0,238
35.0,198.0,462
35.0,276.0,350
37.0,131.0,970
38.0,242.0,654
45.0,175.0,388
49.0,146.0,774
50.0,284.0,389
50.0,318.0,217
51.0,160.0,304
54.0,311.0,173
55.0,296.0,361
64.0,247.0,450
67.0,214.0,498
74.0,283.0,493
82.0,317.0,152
84.0,308.0,360
87.0,254.0,373
90.0,269.0,544
90.0,302.0,531
92.0,294.0,503
100.0,189.0,599
104.0,195.0,197
107.0,169.0,788
107.0,322.0,144
111.0,305.0,529
113.0,205.0,351
118.0,190.0,276
118.0,220.0,806
118.0,245.0,773
119.0,272.0,490
121.0,202.0,580
129.0,184.0,765
129.0,208.0,126
129.0,290.0,495
135.0,236.0,816
136.0,285.0,398
136.0,304.0,504
137.0,175.0,878
138.0,162.0,486
146.0,213.0,706
151.0,307.0,228
154.0,188.0,560
155.0,133.0,225
155.0,188.0,666
158.0,287.0,292
159.0,151.0,963
164.0,125.0,907
164.0,234.0,737
165.0,176.0,916
167.0,106.0,416
170.0,143.0,457
173.0,120.0,436
174.0,207.0,1015
175.0,269.0,393
176.0,312.0,325
178.0,109.0,168
180.0,188.0,765
182.0,262.0,384
183.0,304.0,141
184.0,128.0,55
185.0,141.0,501
191.0,108.0,279
191.0,120.0,152
194.0,301.0,320
199.0,223.0,513
202.0,266.0,658
217.0,296.0,537
219.0,263.0,384
221.0,251.0,359
231.0,305.0,255
238.0,266.0,294
244.0,244.0,524
257.0,298.0,127
265.0,248.0,1019
272.0,322.0,104
280.0,317.0,190
281.0,274.0,437
283.0,277.0,287
306.0,267.0,391
316.0,255.0,774
327.0,270.0,533
328.0,317.0,123
348.0,275.0,553
348.0,297.0,449
351.0,259.0,612
364.0,285.0,219
366.0,289.0,227
379.0,311.0,189
384.0,264.0,272
398.0,274.0,482
400.0,266.0,340
404.0,316.0,173
405.0,286.0,204
414.0,302.0,339
427.0,293.0,344
445.0,300.0,112
459.0,321.0,51
472.0,301.0,52
489.0,272.0,49
