x,y,n
58.0,79.0,158
71.0,277.0,323
73.0,260.0,338
76.0,236.0,549
82.0,272.0,348
85.0,242.0,504
104.0,228.0,545
105.0,212.0,223
109.0,248.0,496
109.0,274.0,416
111.0,169.0,557
111.0,214.0,96
113.0,50.0,286
124.0,196.0,521
128.0,154.0,411
129.0,228.0,279
134.0,209.0,463
136.0,168.0,516
144.0,220.0,869
147.0,197.0,1190
149.0,7.0,66
149.0,181.0,501
154.0,213.0,578
159.0,21.0,135
159.0,172.0,412
164.0,147.0,245
165.0,237.0,364
168.0,184.0,496
178.0,228.0,500
180.0,10.0,87
183.0,63.0,134
188.0,163.0,839
196.0,211.0,894
196.0,225.0,444
202.0,167.0,234
203.0,313.0,98
204.0,203.0,406
211.0,237.0,423
214.0,164.0,289
215.0,152.0,587
219.0,161.0,549
221.0,120.0,414
221.0,183.0,229
223.0,145.0,304
228.0,133.0,543
228.0,291.0,171
231.0,157.0,417
234.0,177.0,351
236.0,236.0,299
241.0,133.0,541
243.0,187.0,977
244.0,149.0,430
244.0,166.0,465
249.0,308.0,133
252.0,179.0,362
252.0,239.0,469
256.0,135.0,600
258.0,197.0,558
261.0,170.0,335
262.0,298.0,156
264.0,181.0,535
266.0,10.0,79
266.0,285.0,261
267.0,108.0,315
267.0,285.0,267
270.0,160.0,394
270.0,309.0,124
272.0,191.0,906
279.0,267.0,372
279.0,286.0,321
281.0,200.0,412
281.0,259.0,310
283.0,303.0,223
288.0,291.0,298
289.0,183.0,326
289.0,187.0,363
292.0,151.0,188
296.0,90.0,336
297.0,263.0,405
301.0,150.0,454
303.0,207.0,428
304.0,133.0,458
307.0,104.0,454
308.0,274.0,407
313.0,146.0,453
313.0,166.0,438
313.0,296.0,420
317.0,163.0,210
317.0,235.0,417
317.0,253.0,563
323.0,134.0,550
323.0,154.0,628
325.0,119.0,438
325.0,261.0,396
327.0,106.0,465
327.0,302.0,210
327.0,313.0,180
331.0,148.0,375
336.0,165.0,386
338.0,206.0,482
338.0,293.0,273
338.0,309.0,196
339.0,155.0,385
341.0,264.0,210
345.0,81.0,299
346.0,172.0,381
346.0,185.0,272
350.0,123.0,410
350.0,275.0,344
351.0,294.0,449
352.0,246.0,262
354.0,149.0,480
356.0,222.0,208
357.0,162.0,523
359.0,109.0,394
359.0,309.0,189
370.0,137.0,315
370.0,146.0,269
374.0,87.0,401
374.0,304.0,206
377.0,64.0,681
378.0,106.0,351
378.0,178.0,434
379.0,314.0,138
384.0,139.0,464
385.0,85.0,280
385.0,128.0,363
390.0,103.0,373
391.0,59.0,391
393.0,76.0,283
394.0,166.0,280
399.0,92.0,557
400.0,67.0,529
400.0,112.0,727
405.0,65.0,128
405.0,301.0,564
407.0,104.0,351
409.0,82.0,298
412.0,164.0,528
415.0,111.0,377
417.0,104.0,233
421.0,140.0,247
422.0,83.0,662
424.0,129.0,354
429.0,71.0,531
430.0,106.0,446
442.0,161.0,223
443.0,94.0,412
444.0,104.0,205
452.0,136.0,245
455.0,82.0,281
458.0,265.0,115
459.0,111.0,392
472.0,125.0,273
475.0,308.0,114
477.0,104.0,177
