x,y,n
10.0,374.0,70
10.0,458.0,55
11.0,163.0,53
12.0,184.0,94
12.0,210.0,84
15.0,402.0,28
18.0,110.0,43
18.0,360.0,92
19.0,242.0,194
23.0,197.0,112
23.0,218.0,102
23.0,409.0,76
27.0,86.0,103
27.0,124.0,72
28.0,233.0,38
29.0,149.0,108
30.0,93.0,78
33.0,165.0,165
34.0,69.0,65
34.0,186.0,133
34.0,351.0,121
36.0,203.0,138
36.0,309.0,140
37.0,434.0,145
38.0,34.0,33
38.0,114.0,151
38.0,226.0,206
40.0,152.0,70
44.0,90.0,99
44.0,167.0,167
44.0,248.0,148
44.0,249.0,157
44.0,317.0,161
45.0,187.0,218
47.0,295.0,115
50.0,96.0,88
51.0,424.0,147
52.0,113.0,103
54.0,377.0,113
55.0,153.0,136
56.0,179.0,199
56.0,198.0,198
58.0,48.0,39
59.0,263.0,187
60.0,278.0,207
60.0,331.0,216
61.0,215.0,254
62.0,299.0,139
64.0,233.0,470
65.0,668.0,108
66.0,720.0,141
68.0,194.0,125
72.0,283.0,137
74.0,58.0,26
74.0,248.0,177
74.0,263.0,165
77.0,25.0,44
78.0,212.0,156
79.0,185.0,263
80.0,399.0,307
82.0,199.0,223
83.0,244.0,353
89.0,226.0,151
93.0,292.0,183
97.0,151.0,125
98.0,208.0,346
98.0,332.0,342
100.0,9.0,21
104.0,231.0,337
106.0,308.0,176
107.0,192.0,190
109.0,264.0,146
110.0,249.0,141
111.0,20.0,20
111.0,358.0,289
113.0,53.0,32
115.0,324.0,107
116.0,198.0,185
117.0,194.0,434
118.0,220.0,95
118.0,241.0,150
119.0,254.0,399
119.0,257.0,252
120.0,38.0,22
123.0,189.0,246
123.0,369.0,111
124.0,198.0,227
125.0,351.0,307
128.0,381.0,310
131.0,212.0,251
133.0,202.0,253
135.0,150.0,86
136.0,150.0,63
136.0,235.0,269
137.0,48.0,69
138.0,338.0,312
140.0,316.0,139
141.0,505.0,280
143.0,13.0,76
143.0,181.0,138
144.0,33.0,55
146.0,633.0,90
