x,y,n
5.0,258.0,19
7.0,296.0,190
8.0,111.0,185
10.0,228.0,240
10.0,343.0,147
12.0,289.0,130
13.0,196.0,243
14.0,254.0,471
14.0,307.0,239
17.0,189.0,75
18.0,168.0,307
18.0,203.0,238
19.0,200.0,155
19.0,336.0,384
21.0,277.0,187
23.0,117.0,183
23.0,329.0,57
24.0,192.0,22
24.0,286.0,376
26.0,212.0,224
28.0,172.0,580
28.0,302.0,405
29.0,272.0,389
30.0,262.0,707
31.0,147.0,345
32.0,75.0,451
32.0,107.0,275
33.0,20.0,188
34.0,179.0,357
35.0,166.0,357
35.0,205.0,384
37.0,129.0,259
37.0,240.0,413
37.0,341.0,247
38.0,317.0,467
39.0,214.0,465
39.0,292.0,528
41.0,194.0,911
41.0,259.0,405
41.0,309.0,263
44.0,271.0,433
45.0,66.0,138
47.0,161.0,294
48.0,59.0,372
49.0,16.0,113
50.0,120.0,121
50.0,206.0,546
50.0,259.0,408
52.0,300.0,441
53.0,229.0,600
54.0,54.0,89
54.0,70.0,148
54.0,80.0,471
54.0,114.0,306
57.0,196.0,399
57.0,261.0,287
61.0,146.0,426
63.0,162.0,256
64.0,42.0,324
67.0,21.0,388
68.0,166.0,428
68.0,351.0,289
69.0,278.0,391
72.0,187.0,263
80.0,60.0,333
86.0,143.0,424
86.0,176.0,383
97.0,173.0,140
111.0,251.0,479
115.0,103.0,319
117.0,163.0,486
119.0,115.0,428
121.0,175.0,358
130.0,225.0,213
132.0,147.0,662
134.0,160.0,537
145.0,161.0,433
145.0,292.0,347
153.0,173.0,520
154.0,117.0,365
156.0,116.0,372
156.0,145.0,450
161.0,178.0,107
168.0,125.0,647
170.0,161.0,471
172.0,241.0,642
174.0,188.0,485
177.0,164.0,99
182.0,268.0,248
182.0,347.0,163
186.0,161.0,381
187.0,208.0,160
188.0,217.0,166
192.0,147.0,895
192.0,252.0,410
192.0,348.0,170
195.0,222.0,106
195.0,232.0,332
196.0,322.0,397
200.0,208.0,290
207.0,143.0,336
207.0,236.0,418
207.0,293.0,578
208.0,273.0,230
209.0,316.0,31
210.0,170.0,412
210.0,329.0,98
220.0,207.0,502
221.0,162.0,341
227.0,285.0,100
229.0,309.0,330
231.0,208.0,251
231.0,265.0,209
236.0,233.0,201
236.0,311.0,199
236.0,335.0,354
237.0,300.0,549
243.0,132.0,356
244.0,161.0,437
244.0,286.0,402
254.0,156.0,134
256.0,223.0,160
260.0,150.0,318
261.0,306.0,441
262.0,201.0,97
266.0,169.0,879
270.0,103.0,517
270.0,232.0,479
271.0,126.0,497
279.0,151.0,102
282.0,161.0,370
284.0,142.0,515
284.0,246.0,638
285.0,127.0,570
286.0,267.0,545
290.0,148.0,541
291.0,234.0,126
291.0,298.0,274
296.0,111.0,544
298.0,135.0,315
300.0,226.0,426
301.0,151.0,490
306.0,267.0,244
307.0,94.0,444
307.0,187.0,377
308.0,120.0,633
309.0,167.0,355
310.0,204.0,445
312.0,254.0,541
314.0,234.0,302
315.0,149.0,483
316.0,139.0,540
317.0,160.0,664
318.0,283.0,486
320.0,103.0,249
321.0,126.0,409
322.0,174.0,129
326.0,186.0,378
330.0,348.0,140
331.0,168.0,768
331.0,231.0,533
332.0,123.0,441
334.0,72.0,259
334.0,331.0,403
336.0,293.0,228
338.0,151.0,486
342.0,122.0,295
342.0,301.0,78
343.0,51.0,327
344.0,287.0,181
345.0,80.0,346
346.0,317.0,246
348.0,234.0,862
348.0,247.0,374
348.0,261.0,268
348.0,326.0,525
349.0,182.0,621
351.0,287.0,414
352.0,97.0,122
353.0,112.0,523
356.0,81.0,401
358.0,326.0,594
361.0,163.0,229
361.0,220.0,513
361.0,270.0,106
363.0,126.0,473
364.0,24.0,108
364.0,97.0,668
364.0,180.0,452
364.0,190.0,584
365.0,114.0,320
366.0,60.0,354
366.0,70.0,531
367.0,288.0,547
367.0,333.0,485
368.0,152.0,470
373.0,118.0,490
374.0,223.0,641
376.0,34.0,312
376.0,78.0,531
376.0,246.0,482
382.0,13.0,141
384.0,170.0,631
385.0,21.0,94
388.0,224.0,640
389.0,342.0,424
390.0,162.0,491
390.0,196.0,583
391.0,156.0,600
392.0,133.0,350
397.0,232.0,512
398.0,286.0,287
399.0,324.0,216
402.0,24.0,328
403.0,165.0,401
404.0,122.0,661
404.0,173.0,289
406.0,282.0,334
406.0,315.0,603
407.0,96.0,328
412.0,207.0,458
413.0,48.0,430
413.0,145.0,606
413.0,306.0,480
414.0,29.0,60
414.0,78.0,320
414.0,279.0,323
415.0,333.0,182
416.0,115.0,477
420.0,257.0,322
421.0,17.0,333
423.0,179.0,386
424.0,111.0,631
424.0,188.0,540
425.0,66.0,348
425.0,77.0,362
433.0,156.0,513
433.0,181.0,389
436.0,18.0,334
436.0,219.0,485
437.0,137.0,522
438.0,295.0,227
439.0,198.0,217
444.0,32.0,439
444.0,97.0,561
446.0,115.0,620
450.0,196.0,241
451.0,73.0,368
451.0,125.0,103
452.0,155.0,388
458.0,135.0,176
459.0,208.0,398
463.0,112.0,447
464.0,83.0,258
465.0,202.0,167
466.0,41.0,221
467.0,171.0,343
471.0,73.0,261
476.0,109.0,420
476.0,123.0,180
476.0,301.0,98
479.0,145.0,541
480.0,204.0,144
481.0,69.0,133
482.0,184.0,183
485.0,129.0,267
488.0,59.0,141
488.0,108.0,130
