x,y,n
9.0,255.0,707
17.0,251.0,393
24.0,162.0,776
28.0,189.0,1019
30.0,229.0,410
33.0,176.0,481
34.0,199.0,421
43.0,244.0,540
48.0,191.0,361
50.0,122.0,557
65.0,132.0,423
68.0,151.0,176
68.0,212.0,343
70.0,192.0,519
75.0,177.0,608
83.0,196.0,633
93.0,183.0,579
97.0,198.0,586
115.0,214.0,621
120.0,169.0,709
121.0,194.0,580
121.0,203.0,652
132.0,198.0,545
142.0,195.0,483
150.0,141.0,537
151.0,174.0,420
152.0,191.0,608
153.0,220.0,661
157.0,284.0,465
164.0,100.0,574
164.0,120.0,511
164.0,129.0,324
164.0,244.0,109
166.0,158.0,1354
166.0,187.0,237
167.0,178.0,1343
168.0,146.0,485
174.0,217.0,919
175.0,115.0,532
175.0,198.0,283
179.0,166.0,651
179.0,190.0,677
181.0,275.0,582
183.0,212.0,213
186.0,238.0,608
186.0,299.0,352
189.0,224.0,400
192.0,252.0,701
201.0,264.0,716
207.0,296.0,465
214.0,284.0,524
216.0,308.0,448
222.0,139.0,699
222.0,265.0,679
224.0,231.0,550
225.0,84.0,476
228.0,317.0,352
229.0,239.0,681
232.0,66.0,208
234.0,88.0,1230
237.0,98.0,576
240.0,224.0,294
243.0,212.0,553
243.0,288.0,456
245.0,32.0,147
246.0,188.0,617
246.0,199.0,1103
247.0,178.0,167
248.0,147.0,666
251.0,42.0,775
252.0,206.0,183
253.0,84.0,651
254.0,132.0,667
256.0,42.0,34
256.0,185.0,603
256.0,249.0,509
256.0,270.0,587
257.0,159.0,694
259.0,142.0,568
259.0,221.0,599
261.0,174.0,685
262.0,88.0,612
263.0,198.0,42
264.0,260.0,554
264.0,287.0,157
268.0,60.0,530
269.0,104.0,698
272.0,222.0,698
272.0,238.0,559
276.0,90.0,711
278.0,228.0,555
279.0,29.0,39
279.0,247.0,601
283.0,110.0,713
285.0,196.0,489
285.0,198.0,392
286.0,239.0,623
287.0,102.0,654
287.0,227.0,543
288.0,214.0,514
290.0,55.0,616
295.0,112.0,107
296.0,291.0,68
300.0,55.0,55
300.0,240.0,643
301.0,101.0,411
301.0,229.0,704
302.0,258.0,727
303.0,154.0,600
303.0,221.0,634
305.0,50.0,521
305.0,169.0,709
311.0,96.0,540
313.0,96.0,1159
313.0,129.0,173
314.0,109.0,605
318.0,20.0,97
319.0,301.0,438
320.0,35.0,54
320.0,278.0,346
322.0,116.0,572
324.0,128.0,490
326.0,167.0,571
330.0,117.0,1254
336.0,99.0,561
336.0,181.0,525
337.0,190.0,697
338.0,268.0,471
339.0,228.0,675
339.0,288.0,967
342.0,128.0,660
342.0,242.0,905
343.0,210.0,1228
344.0,68.0,394
347.0,193.0,613
348.0,253.0,427
350.0,156.0,582
360.0,186.0,971
361.0,236.0,498
361.0,315.0,312
363.0,58.0,237
363.0,87.0,91
363.0,247.0,517
364.0,67.0,128
365.0,80.0,489
366.0,25.0,425
366.0,255.0,563
367.0,45.0,546
370.0,146.0,534
371.0,200.0,697
371.0,231.0,879
375.0,81.0,556
375.0,277.0,576
376.0,107.0,745
376.0,114.0,579
378.0,179.0,352
379.0,263.0,586
382.0,251.0,520
383.0,50.0,508
383.0,157.0,648
385.0,239.0,527
386.0,204.0,601
388.0,154.0,574
389.0,94.0,406
389.0,283.0,516
395.0,194.0,74
395.0,269.0,585
396.0,63.0,142
398.0,109.0,362
398.0,211.0,582
402.0,45.0,504
404.0,64.0,178
405.0,151.0,483
406.0,135.0,628
407.0,13.0,359
408.0,71.0,498
409.0,194.0,547
410.0,54.0,563
411.0,243.0,73
412.0,121.0,990
412.0,297.0,390
413.0,208.0,523
414.0,42.0,524
414.0,243.0,147
415.0,200.0,608
417.0,228.0,571
419.0,105.0,565
419.0,274.0,529
420.0,88.0,689
420.0,172.0,678
421.0,310.0,375
426.0,224.0,376
427.0,75.0,593
429.0,137.0,346
430.0,120.0,523
432.0,38.0,315
435.0,229.0,85
436.0,106.0,1035
437.0,238.0,542
438.0,80.0,567
438.0,94.0,370
438.0,179.0,612
442.0,220.0,896
445.0,231.0,1395
447.0,164.0,594
448.0,114.0,37
448.0,278.0,577
449.0,77.0,604
451.0,60.0,419
457.0,92.0,551
460.0,133.0,332
467.0,93.0,410
468.0,167.0,1052
474.0,27.0,309
477.0,143.0,466
478.0,70.0,493
480.0,11.0,302
487.0,172.0,242
